,Title,Company,Location,TypeContrat,Salary,Description,Date,Link
0,Alternance - Data Scientist H/F,Malakoff Humanis,Paris 9e (75),"Apprentissage, Contrat pro",notfound,"Contrat
ALTERNANCE
Finalité du poste
Au sein du service DATA, vous participerez à la mise en œuvre des méthodes /techniques de Data science pour répondre à la mise en œuvre d'un produit DATA répondant à une question majeure du métier.
Vos missions
Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront:
étudier des données disponibles qui permettront de définir les données qui seront utilisées dans l'élaboration du produit data selon les règles de conformité groupe et accord du Data
identifier les données complémentaires à obtenir
récupérer et analyser les données identifées pour le produit data à mettre en œuvre
identifier la problématique des directions métiers pour réaliser le(s) modèle(s) initial(aux) et les évolutions successives répondant à la problématique
élaborer les mécaniques anticipant l'évolution des données utilisées dans les modèles
élaborer les systèmes auto apprenant
élaborer le monitoring des modèles mis en œuvre
modéliser les résultats pour les rendre exploitables par les managers et la direction générale
supporter la direction métier dans la définition des KPI permettant de mesurer la valeur attendue, contribuer a leur analyse et la définition du plan d'action d'améliorations des algorithmes
s'assurer de la mise en place des conditions d'industrialisation sur l'ensemble des dimensions organisationnelle, compétences, outils....
mettre en place la boucle d'apprentissage permettant l'amélioration des algorithmes
Profil recherché
Vous préparez un Bac+5 en alternance dans le domaine de la Data Science, Mathématiques appliquées, statistiques et informatiques, ou de type écoles d'ingénieurs.
Vous connaissez les enjeux des directions métiers assurance.
Vous avez une appétence forte pour la gestion des données. Et une première expérience en data science et en particulier en machine Learning.
Vous connaissez les environnement Big Data.
Vous aimez travailler en équipe et êtes un bon communiquant (écrit et oral). Vous avez des capacités d'écoute et d'analyse ainsi qu'un sens du contact, une disponibilité et une réactivité.
La connaissance des outils d'analyse de données, d'exploration de données et de la programmation ainsi que de R et Python seraient un plus",il y a 3 jours ,/pagead/clk?mo=r&ad=-6NYlbfkN0BfLf6vlT6l4ABp3X30XSvXz_-NpXuqcS_nd6g9VmGJGEIFXOJiy_O-LZTi_P1Hr5C12zXBhJKffQtOWdFMmiYV_QBqrrdOCIc69vyCZNu5dO1KBLv7jyevMvQcElUkfJJ5L1ClaW4LrGjck2VYZ3EXlrGfyKTEA9dcQXpnbS7TQWHt6WQYrm5gpogDOhOc215BlarIUscn3hx7YPg59jSfwaklEGd2KS7wvtzQa23Li4EeHIjg5Fz5H62MkE2IhI_LkS_ROT81tdXIDJ6wpimyaK-xAbiXFsGvZ0IBV80vSvG6t0fRfodSAfHn4ok0zwK_EO7dg1Ww7wuGHwaFm-N_jVnvBAJmP6ctkFULgdV3AAldsCOIVx7_kwjuZxwUjsX6uc70dFwkTNdt330hNK6tVCcdisGHSs7Ez-YTMfQU3G2AaxAA6GJiOdSIca84JvGNQnGGw_Sa4XhB1W-lrHyuE5dO85E_CZs=&p=0&fvj=0&vjs=3
1,DATA analyste informatique (F/H),ACCEO CONSULTING,Paris (75),notfound,notfound,"Actuellement, au sein des équipes BIG DATA et Machine learning de notre client, grande entité bancaire, l’objectif au quotidien est d’acquérir une expertise sur l’ensemble des informations liées aux données marketing et commercial des différentes entités, c’est pourquoi nous recherchons un(e) :

DATA ANALYST (F/H)

Vos principales missions :
Mise en place d’un dictionnaire de données / catalogue, à disposition des chefs de projets et des data scientists afin de les aider, lors de la mise en place de projets BIG DATA ou machine learning.
Manipulation, analyse et mise à disposition des données collectées.
Reporting
Vous serez également en charge de toutes les demandes liées à l’exploitation des données

Votre Profil :
Issu(e) d’une formation supérieure de type BAC + 5 en informatique, statistiques ou en big data, vous avez acquis une expérience de minimum 3 ans dans le traitement et l’analyse de données dans un environnement bancaire.

Pour ce poste, ous recherchons un profil avec un très bon relationnel pouvant communiquer aisément entre les différents services et interlocuteurs.

A l’aise dans la transmission des informations, vous avez aussi une réelle appétence pour manier les données.

Bon communiquant, vous avez un sens du service développé.",il y a 17 jours ,/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOas1XXw09aTZVYdY9lRqLnedkGwLenO6s9lKFeUajY010jinp-GArIeFjLYnb5M_DVgKfMAvigu4JKkeVIC-iBh44yoUCmN_B0Xzt1rHYum1k1y24v6Wn9jpFmBc-2C6o6iYCcoUbn7q7Gs5D6540LNaE1N3z4T59CdBxrOcvqxKO8sxv_wV9Cl3d_i10_gzq0XAy8xPYlLbNGp8d4Q0s9p6yCU0xJLZUYJFy0kcjYuMG9joYzOUdhWS4ZmZ7GVAGWpi6NndpyrXJ--pvlzu3nnzrJfOvtZ750-3_p8081D8SIpKNGkK14uo7VQiim3FNQboyZU3mDgXq7uXIMyWonzCx6LwhNXeYSgwTRvMLFMITmt-iqthClhoavTO37WcJI0WiYcQ5rUAfLJXPrCKq9LtNyCw7iCx07jy63ZX99Ob1tbWTfNmN1FYPZlAfEmnzIWzpNJvcsXg3N1zJ5CBvt3LYVt-G4ZUF56VURE2mGsToapu32Urv-yjzb8dR5nl43UDNc1PiQpilsnAR-h0d4z9D3Os6UnugS6VGC_LVr4ifJHI6UlrENOs2tKgVCuCEbxahOq-KeUKCVT5qnCrqcq24iycBTNAV9HxxaqlmRp2q&p=1&fvj=0&vjs=3
2,Chef de Projet Data F/H,TRIMANE,92350 Le Plessis-Robinson,notfound,notfound,"TRIMANE est une société de service spécialisée dans les systèmes d’information décisionnels (SID), nous proposons un ensemble de service sur mesure pour aider nos clients à gérer et rentabiliser l’information au sein de leur entreprise. En tant que spécialiste du décisionnel, nous sommes reconnus pour le très haut niveau d’expertise de nos consultants.Nous accompagnons nos clients (CAC 40 et SBF 120) sur des prestations de Conseil, MOA et MOE, autour du traitement et l’analyse des data, quel que soit l'environnement technique (BI, Big Data, Cloud, Machine Learning, Deep Learning, NLP, etc.) ou méthodologique. TRIMANE accompagne la montée en compétences de ses collaborateurs grâce à sa casquette d'Organisme de Formation BI & Big Data (+ de 40 formations), et son DataLab acteur de la recherche scientifique orientée Data, impliquant entre autre la production d’outils d’Analyse de données & Dashboarding, d'Intégration de données et de Prédiction juridique. Dans le cadre de la mise en place et le développement de projets data, vous accompagnerez nos clients autour de la mise en place de solutions décisionnelles, Vos missions consisteront en: Coordonner et animer l’équipe MOEVeiller au bon déroulement de vos différents projetsAnalyse des besoins des utilisateurs et métiersRédaction des spécifications techniquesGestion de projets et coordination d'équipe : chiffrage, planning, conduite de réunion, propositions...Participer à la conception du SI décisionnel et analyse de sa cohérenceCommunication : promotion autour de la solution et collaboration étroite avec les responsables métiersSoutien / renfort de l’équipe technique au besoinVeille technologiqueVous êtes de formation ingénieur / Bac+ 5, avec une spécialisation décisionnelle et une expérience de 5 ans minimum. Vous disposez de plusieurs expériences significatives en tant que Chef de projets. Posséder des connaissances dans ce secteur d’activité serait fortement apprécié.Vous êtes passionné par la Data et vous effectuez une veille permanente autour des sujets suivants : Data Mining, Intelligence Artificielle, Deep Learning, Machine Learning ;Langages de programmation et Scripting data science (Python, R, Java, Scala) ;Langages de requêtage (SQL, NoSQL, MDX, DAX etc.)Recherche opérationnelle et bonnes connaissances en statistiques ;Gouvernance des données ;Data Visualisation : Tableau Software, Qlik Sense, PowerBI, Tibco, Microstrategy, Oracle Data Visualisation etc. ;Bases de données relationnelles & NoSQL (MongoDB, Cassandre, Hbase,..) et langages de requête (Hive, Pig) ;Architecture technique des environnements Big Data (Hadoop, Spark, Scala, Hive…)Environnements Cloud (Microsoft Azure, Google Cloud, AWS) ;

Data",il y a 10 jours ,/pagead/clk?mo=r&ad=-6NYlbfkN0Bl_GJvjV7T_nyT7YhzCl__eWgtG2pYAfIQqTT3QwFobB8o1kHFDV9c_GUxH4mpxler2fXerwT7eftj3ENtK00IuBBXSjQ8cNe_c2f-JX6Qx1TAZLyMV49wO797_VT1ZYne-XkEeK9vJAzVwJm3QbOY5Xe0_rAgQckOmsmAW3SshkslPmJuGp-t75aAgZXPJH_VdszaLEXnVCnCbDOTc1fhTX-yLhlCsoMU5AcueNR4kkwJ5rfPK7kiVJ_B0_2mWPf1L0Ih6VixwWnNT1pTUu-69BezlsybVkFrUAzhB2bQaO5yDPb962Igt_fYpd4yPj2z2fLIQ5uyuaHlsPegpqfEDo6srlbTyMaHKig79GgYQtfFExiFJxBwab5_fcDqHkc8afyGf7mjxXXBA-1s4hKK3DPwwaypBWHkKtmMK21OXS7HnrypTxCbz8vmJSBDfE8mHP2KUeOVcQxl-n3nvPP3io9ZV_Mz6a3dVjxoxxaeeCTcYyC1sutVHusjOkacwwSkP-z22CheqoNgG_e43OQtwVK4W-L0yu8r026R24Uafwyj0jZKL8XNI_T1Xt0zXOFPgpOg0EAG_s9d_Dac3uHScSE0KbhUi2Eh7yVCHXFM1yEuaFwrOgh_Rd3SQ9I_bKU6aClyLX7QuvbxkHDneYWstQn4J4kdWbG7o5hIuv7-lM6qQaSDzywbQK7JVOqzEx6z5qiXqDw5ETVlJXKLIzKBUk3RJuSpVGz6bMdhbsz8caMRJKVv5XMNzgbb5fONDu4fQJ-mYQ_6IJSOJmRCx4LiIuOhet836nAjTp6NBx690w==&p=2&fvj=0&vjs=3
3,Data Scientist H/F,NEOBRAIN,75009 Paris 9e,"Temps plein, CDI",notfound,"Neobrain développe des solutions digitales intuitives pour aider l’Homme à gérer sa carrière dans un monde en pleine mutation. Orientation professionnelle, gestion de carrière, recrutement, nous intégrons l’intelligence artificielle en support de l’Homme pour le centrer sur son cœur de métier. Créé en 2018, Neobrain compte déjà une trentaine de clients (grands comptes) et 2 bureaux (Lisbonne et Paris).L'équipe de Data Science de Neobrain applique l'apprentissage machine learning à divers problèmes liés au domaine des ressources humaines. En tant que Data Scientist au sein de cette équipe, tu travailleras en étroite collaboration avec des data engineers et des développeurs pour prendre en charge des problèmes réels en matière de ressources humaines.Le cadre réel de ce travail signifie qu'il y a beaucoup de data à explorer, à développer des algorithmes de PNL et de voir l'impact réel de ton travail sur la vie professionnelle des utilisateurs finaux. La complexité et l'ampleur des problèmes exigent des solutions véritablement innovantes. En tant que tel, tu continueras à bénéficier d'une grande liberté car notre objectif est de te permettre de développer des idées innovantes.Un Data Scientist de ce groupe peut être issu de la reconnaissance vocale ou du traitement du langage naturel, mais il peut aussi venir d'un apprentissage machine plus général.Si tu souhaites être autonome, évoluer au sein d'une équipe engagée, dynamique et motivée, occuper une position clé dans le développement de l'entreprise, nous sommes impatients de te rencontrer !Tes missions* Mener des recherches appliquées ciblées pour aider à résoudre des problèmes difficiles dans le domaine des ressources humaines* Identifier les opportunités commerciales et opérationnelles pour générer de la valeur grâce à des solutions intelligentes* Concevoir, mettre en œuvre, évaluer et optimiser des algorithmes et des modèles de PNL qui conduisent à une amélioration des performances des applications Neobrain dans des scénarios du monde réel* Utiliser des techniques efficaces de représentation de texte et des algorithmes de classification* Réaliser des études empiriques de la précision des algorithmes sur de grands ensembles de données* Développer une large base de code, par la conception, la révision, la maintenance et la collaboration avec des codes externes* Développer des processus de collecte de données à grande échelle sur le web à partir de différentes sources afin de développer des ensembles de données à l'usage des membres de l'équipe* Créer ou mettre à jour la documentation et les rapports si nécessaire* Proposer, concevoir et construire des outils réutilisables pour favoriser une interaction et une expansion rapides* Partager la connaissance, chez Neobrain l'apprentissage fait partie de nos valeurs fondatrices. Tu devras documenter ton expertise en combinant études de marché, entretiens, analyses et suivi méthodologiqueProfil recherchéTu es un expert en Python, SQL, tu as des connaissances en statistiques et en machine learningTu connais Docker, Git, Tensorflow ou PythorchTu es propriétaire de tes projets : tu prends l'initiative, tu es flexible et autonome, et tu fais preuve d'une grande rigueurTu es une personne de confianceTu es synthétique, clair et as de bonnes capacités de communicationTu as une courbe d'apprentissage très élevée, tu es capable de t'adapter à un écosystème en constante évolution et apprends très rapidement à garder une longueur d'avanceTu as l'esprit d'équipe : tu a de bonnes qualités relationnelles, aimes le partage et les défisTu sais faire preuve d'empathieTravailler dans une start-up en pleine expansion te motive tout particulièrement !Avoir un impact sur la vie des utilisateurs te motive constammentEncore une chose ?Nous sommes constamment à la recherche de talents. Si tu penses avoir les compétences nécessaires pour nous rejoindre, nous sommes heureux de lire les candidatures spontanées.Nous nous engageons à offrir un environnement de travail exigeant, mais dans la bonne humeur et la bonne volonté.Tu participeras à l'élaboration d'un projet collectif passionnant, comportant de grands défis.Nos bureaux sont situés à Notre-Dame de Lorette dans le 9ème arrondissement de Paris et tu seras couvert par Alan, l'assurance maladie 2.0 : ), bien sûr nous te fournirons un ordinateur portable.Tu as la possibilité de travailler à Paris ou à Lisbonne.Engagés dans un processus d'intégration très inclusif, nous examinons avec le même intérêt toutes les candidatures sans différenciation.Type d'emploi : Temps plein, CDIExpérience:data scientist h/f : 2 ans (Souhaité)Langue:Anglais (Requis)Télétravail:Temporairement en raison du COVID-19",Publiée à l'instant ,/company/NEOBRAIN/jobs/Data-Scientist-dfce81a430ab8c82?fccid=181aff057e3e0ca1&vjs=3
4,Stagiaire Data Scientist H/F,Cocoparks,Paris (75),"Temps plein, Stage",notfound,"Description de l'entrepriseCocoparks is an early stage tech startup. We believe revolutionizing the parking experience and related infrastructure management solutions is one the biggest levers to save time, money and CO2. We also believe in a responsible use of Artificial Intelligence to serve cities and businesses.https://cocoparks.iohttps://www.linkedin.com/company/cocoparks/Description du posteYour impact :Taking part of the early stage phase of a disruptive tech startupWorking directly with the founderShaping the core of the technologyDesigning & scaling ML algorithmsTests and production modeTechnology watchProfile :Engineering school or Bac+5 internshipYou love machine learningYou are both autonomous and a great team playerYou want to serve high impact issues with your skillsYou are smart !Required skills:Statistics and applied maths: problem modeling, data analysisCoding: Python, NodeJS, image processing, Docker, GithubMachine learning: computer vision, CNN, algorithm and proof-of-concept developmentIndustrie : Numérique et développement informatiqueAvantages :Travail à distance possibleHoraires flexiblesDurée du contrat : 6 moisType d'emploi : Temps plein, StageExpérience:stagiaire data scientist h/f ou similaire: 1 an (Souhaité)Télétravail:Oui",il y a 2 jours ,/company/Cocoparks/jobs/Stagiaire-Data-Scientist-7dfc3a37f8ba1ddc?fccid=b936c6214c3cacd7&vjs=3
5,Data Scientist,QuickSign,Paris (75),CDI,notfound,"L’équipe
Des dizaines de milliers de comptes sont ouverts via notre plateforme chaque jour. La solution SDM (Smart Document Management) de QuickSign gère l’ensemble des modules d’analyse de documents : classification, lecture et contrôles sur la qualité et le contenu des documents. Chez QuickSign, elle permet de traiter chaque jour automatiquement un nombre important de dossiers pour les plus grandes banques en ligne.
Afin d’accélérer le temps de traitement des dossiers (en limitant le nombre de vérifications manuelles à mener), il est nécessaire d’avoir des algorithmes rapides et précis pour les différentes étapes. Pour ce faire, nous nous appuyons sur l’état de l’art en Deep Learning pour construire nos propres algorithmes d’analyse d’image et de texte.
L’ouverture de ces comptes génère par ailleurs des millions de logs qui, très divers, contiennent énormément d’informations pouvant être exploitées pour produire des statistiques, mais aussi accélérer le temps de traitement, augmenter le taux de transformation et limiter les fraudes.
Tu travailleras au sein de l’équipe Data, dont le but principal est de valoriser ce grand volume de données entrantes (dossiers, pièces justificatives, logs…). Notre équipe est aujourd’hui composée de 2 Data Scientists, 2 Data Engineers et 2 développeurs Python, et vise à être complétée dans l’année par un Data Scientist, un Data Engineer et un architecte Data. Elle couvre des thématiques larges telles que :
Vision artificielle : lecture et reconnaissance automatique de documents structurés ou non structurés (OCR), classification, analyse sémantique (NLP), approches hybride texte + image, évaluation de la qualité d’un document
Business Intelligence : ETLs permettant de produire des métriques métier à destinations des autres équipes de QuickSign, ou de nos clients
Datalake : projet de mise à plat de l’accès à toutes les données produites par QuickSign à des fins exploratoires
Lutte contre la fraude : détection de fraude à l’ouverture d’un compte.

Améliorer les performances de nos algorithmes, en concevoir de nouveaux, et explorer nos données afin de guider nos choix de R&D sont donc des enjeux essentiels au sein de l’équipe. Ces tâches s’inscrivent dans un effort plus large d’industrialisation des productions de l’équipe afin de concentrer les travaux des Data Scientists au développement de nouveaux modèles. Nous menons par exemple un chantier d’apprentissage continu avec les Data Engineers de l’équipe afin de réduire le temps nécessaire au réentrainement des modèles et d’être garant du maintien de bonnes performances en production.
Tes missions
Ta mission principale consistera à développer des modules de traitement de données images et texte essentiellement, à l’aide des technologies à l’état de l’art en Deep Learning et en NLP. Il faudra ainsi participer à l’amélioration des modules existants et à la création de nouveaux modules répondant à des besoins clients tels que :
Lecture, classification de nouveaux documents
Prise en charge de nouvelles zones géographiques
Lutte contre la fraude / KYC

Tu seras garant de la mise en oeuvre de ces modules chez QuickSign, depuis leur conception jusqu’à leur mise en production, ainsi que de leur suivi, avec le soutien des développeurs Python et des Data Engineers de l’équipe, ainsi que celui de nos DevOps.
Dans une démarche d’amélioration continue de la performance chez QuickSign, une veille régulière sur les sujets Data est primordiale, et l’équipe t’encouragera vivement à assister et à présenter les travaux menés chez QuickSign dans le cadre de Meetups, GdR et/ou conférences en France/Europe portant sur nos domaines de spécialité.
Profil recherché
Niveau d’études, expériences
Nous recherchons quelqu’un ayant entre 2 et 4 ans d’expérience en tant que Data Scientist, ayant travaillé sur des problématiques de vision et/ou de NLP, ou sortant d’une thèse dans le domaine, et travaillant en Python.
Compétences requises
Python 3
Docker
TensorFlow
Git
Nous apprecions aussi
NoSQL (pour info nous utilisons MongoDB)
gestionnaire de workflow pour le Deep Learning : AirFlow, Prefect…
GCP
TF-Serving, TF-Extended
Outil de versioning général (poetry) et pour le Deep Learning (DVC)
Ton état d’esprit
Ce poste couvrant, d’une part, des études R&D sur des thématiques Data au sens large afin de maintenir les produits proposés chez QuickSign à l’état de l’art, tu dois être force de proposition sur l’adaptation d’algorithmes récents à nos problématiques.
D’autre part, le passage des études R&D en production nécessite de garantir des taux de performances élevés (compromis ressources, temps, qualité). Tu dois donc avoir de l’appétence pour développer du code suivant les guidelines de bon développement, en portant une attention particulière aux test et au monitoring, afin de garantir le bon fonctionnement des modules Data en production.",il y a 4 jours ,/rc/clk?jk=4533312e1cde6215&fccid=108fa4915b998ff5&vjs=3
6,DATA SCIENTIST / MACHINE LEARNING RESEARCHER INTERN,Joko,Paris (75),Stage,notfound,"DESCRIPTIF DU POSTE

Tu seras responsable du développement d'algorithmes de Machine Learning et de la réalisation d'analyses de données avancées. Tu travailleras au sein de l'équipe Data Science en interaction directe avec l'équipe de développeurs. Selon sa nature, un accent “recherche” pourra être donné au stage (avec notamment des possibilités de publications).
Voici une liste non-exhaustive des missions possibles durant le stage :
Tu travailleras au développement et à la constante amélioration des algorithmes de recommandation d'offres au sein de l'application, afin d'offrir l'expérience la plus personnalisée possible à nos utilisateurs.
Tu participeras à la continuelle évolution des algorithmes permettant de qualifier le plus précisément possible la donnée brute envoyée par les banques.
Tu réaliseras des analyses de données avancées afin d'appuyer la prise de décisions et la stratégie des équipes commerciales et des équipes produits.
Tu participeras à toutes les étapes du processus de développement, depuis la modélisation des problèmes jusqu'au déploiement des modèles en production.
PROFIL RECHERCHÉ

Tu as le profil idéal si :
Tu es autonome, créatif et tu sais gérer ton temps et ta to-do comme personne
Tu as de bonnes connaissances dans différents domaines du Machine Learning
Tu es un expert en Python
Tu sais résoudre des problèmes complexes et abstraits
Tu as éventuellement déjà travaillé avec des séries temporelles et des réseaux de neurones récurrents, ou tu es familier avec des algorithmes d'analyse de graphe

Tout ce que tu pourras apporter d'autre sera le bienvenu, c'est important pour nous de constituer une équipe aussi diverse que possible en termes d'expériences, de cultures, de passions, etc.
INFORMATIONS COMPLÉMENTAIRES
Type de contrat : Stage (4 à 6 mois)
Date de début : 10 août 2020
Lieu : Paris, France (75001)
Télétravail total possible",il y a 3 jours ,/rc/clk?jk=51c591314452c91c&fccid=0b5f93d5f9c54d7f&vjs=3
7,CDD - Data Scientist ou Statisticien (F/H),Allianz France,Paris (75),"Temps plein, Intérim",notfound,"Description de la mission
Diplômé(e) en Data Science ou en Statistiques, vous cherchez un poste où vos compétences sont valorisées.

Vous souhaitez travailler en équipe et évoluer dans une entreprise qui met ses collaborateurs au coeur de sa stratégie de développement !

Venez apporter votre technicité et votre bonne humeur au sein de notre centre de compétences Data & Performance Vie & Santé !
Responsabilités clés
Vous réalisez la rétro-documentation des Model points ;
Vous construisez des référentiels ;
Vous mettez en place des traitements industriels de données sur le périmètre Life & Health (projet Arpia) ;
Vous sécurisez le Run sur la construction des Model points.
Profil / Compétences
Vous êtes diplômé(e) Bac+5 en Data Science ou en Statistiques ;
Votre très bonne maîtrise des techniques d’exploitation des données est reconnue grâce à une première expérience réussie ;
Vous connaissez l’assurance ;
Vous faites preuve d’adaptabilité ;
Vos capacités d’analyse et de synthèse ne sont plus à démontrer ;
- Votre communication est aisée et vous partagez volontiers vos connaissances techniques vis-à-vis de personnes n’ayant pas les mêmes compétences ;

Vous êtes curieux et force de proposition ;
Votre maîtrise de SAS, Python, MS Office en fait pâlir plus d’un ; de même que celle de l’anglais (à l’écrit et à l’oral).
Informations complémentaires
CDD de 8 mois maximum à pourvoir dès que possible.


Merci de transmettre votre candidature complète (CV & lettre de motivation en précisant vos dates de disponibilité et la durée).


Localisation du poste : Paris La Défense, Tour Neptune (M° Esplanade de La Défense).
Code de référence
AZFR-7382783-1
Allianz est l’univers pour ceux qui osent – un environnement qui soutient ceux qui prennent des initiatives pour faire évoluer leur carrière et pour participer activement au renforcement de notre position de leader mondial. En accordant une réelle importance aux hommes et aux femmes – à la fois à ses 88 millions de clients particuliers et professionnels, et à ses 140 000 collaborateurs – Allianz favorise une culture dans laquelle chaque collaborateur est encouragé à travailler en équipe, à se dépasser et à innover, pour relever les défis du secteur de l’assurance. Notre principale ambition est d’être le partenaire de confiance de nos clients et de leur permettre d’avancer avec l’assurance que nous sommes là pour les accompagner. Si vous avez de l’audace, rejoignez le Groupe Allianz.


De plus, en qualité d’employeur engagé, Allianz reconnaît que sa force se trouve dans la diversité de ses collaborateurs. Nous sommes fiers de promouvoir l’intégration et l’égalité des chances quel que soit le sexe, l’âge, l’origine, la nationalité, la religion, le handicap, ou l’orientation sexuelle de nos collaborateurs.
Toutes nos offres d'emploi sont ouvertes aux personnes en situation de handicap.",il y a 13 jours ,/rc/clk?jk=cc222df96f9f27e3&fccid=bf422d4af99309b2&vjs=3
8,JUNIOR DATA SCIENTIST,Linkfluence,Paris (75),"Temps plein, Stage",notfound,"AboutLinkfluence first started as a passion project between four students with an ambitious goal: to understand and “map” the social web. With backgrounds in engineering, artificial intelligence, and sociology, these founders soon realized the potential of this idea and launched a company in 2006 to fulfill this potential.Today, Linkfluence is a leading social media intelligence company that turns social data into valuable insights for global brands. Our hybrid combination of AI and human expertise is what sets us apart from other social listening players in the industry.We serve over 500 clients worldwide across all industries, from global brands like LVMH, Danone, Carrefour, AirFrance, Pernod Ricard, and agencies like Publicis and Havas.Our team is young, diverse, and ambitious, and we’re growing rapidly. We have 220 people of over 20 different nationalities spread across our offices in Paris, London, San Francisco, New York, Düsseldorf, Shanghai, and Singapore. We are a multicultural organization, and are committed to a gender-balanced workforce.If you’re passionate about staying on top of online trends, if your ambition is to help companies serve their customers, if you’re curious about what’s happening in the world and love to listen to others, and if you’re thrilled to be a part of shaping the future of social media intelligence, then we want to hear from you! Linkfluence is a leading Social Data Intelligence company, offering organisations a unique approach to monitor, analyse and leverage social media. Thanks to our social media intelligence platform Radarly and the associated services, Linkfluence captures and analyses more than 200 million posts per day from over 300 million sources in 61 languages.Founded in 2006 in France, Linkfluence has more than 200 talented people in its offices in the UK, France, Germany, China and Singapore and is growing strongly. We work with over 350 brands, agencies and public organisations including worldwide-known companies such as: Danone, LVMH, Orange, AirBnB, Infinity, Publicis…You will be working with a young, energetic and rapidly growing international team. We are looking for passionate and smart people to help us shape the future of social data intelligence.Job description Linkfluence is looking for a talented and inventive Data Scientist intern to join our team. You will work alongside and will be supported by a full-stack Data Scientist replying on both Data Research and R&D teams to provide data driven insight to solve customer user cases relying mainly on social listening data (texts, images coming from online, media, blogs, forums, social networks). The Data Scientist intern will help build data engineering assets and statistical/machine learning models to surface actionable business or marketing insights. The intern will also work with large scale computing frameworks, data analysis systems and modelling environments (e.g., Spark, Hadoop, Tensorflow, etc).Construct end-to-end data flows from raw data to predictionsCrunch, analyze and investigate on all kind of social dataExplore new machine learning algorithmsBuild attractive visualizationsCommunicate results to non-technical colleagues and clients (market research and consumer insights profiles)Provide data science expertise to sales, marketing and R&D teamsRequirements Experience with Python or R or ScalaExcellent statistical, machine learning and data mining skillsKnowledge of regressions, time series analysis, clustering, decision tree techniquesFamiliarity with data visualization in R, Python or JavascriptExperience in data engineering using Spark / Hadoop is a plusExperience using / building APIs is a plusJob Types: Full-time, InternshipExperience:Data Scientist: 1 year (Preferred)",il y a 30+ jours ,/company/Linkfluence/jobs/Junior-Data-Scientist-5e87dddf752697b6?fccid=76fef9ae1f6bc007&vjs=3
9,Consultant Data Scientist (H/F),INVENTIV IT,Paris (75),"Temps plein, CDI",notfound,"Et si vous découvriez une ESN fondée par des consultants pour les consultants ?Vous recherchez une entreprise…Avec un fonctionnement horizontal ? Nos consultants ont des responsabilités au sein de nos 4 pôles centraux ERP, Big Data, Business Intelligence et NTIC.Avec une expertise dans la valorisation de la donnée ? Nous sommes présents depuis plus de10 ans dans ce secteur avec un écosystème d’experts, un Pôle R&D.Référencée au sein des grands comptes du CAC 40, et impliquée sur toutes les phases de projets passionnants ? Retrouvez les interviews des Inventifs sur LinkedIn avec #LesInterviewsDesInventifsRejoignez Inventiv IT !Vous êtes au cœur de nos priorités, nos actions en sont le reflet : des activités sportives et ludiques hebdomadaires, un accompagnement par un Coach tout au long de votre carrière, une flexibilité d’horaires et du télétravail, qui apportent un équilibre de vie professionnelle et privée.Qui êtes-vous ?Ingénieur de formation, vous disposez d’au moins 3 ans d’expérience dans l'exploitation de données.Vous avez un esprit entrepreneurial et souhaitez vous investir pour faire grandir l’entreprise dans laquelle vous travaillez.Vous savez fédérer les équipes autour de vous et avez une réelle expertise et rigueur dans ce domaine. Vous possédez un bon niveau d’anglais.Vos compétences et ce que nous attendonsRecueillir les besoins du client - Modéliser les donnéesDévelopper des algorithmes et scénarios pour répondre aux besoins de l’analyseTester, contrôler la qualité et la cohérence des résultatsEtre en veille sur les technologies data et les modèles de data science (Machine Learning, Deep Learning…)Posséder des connaissances en mathématiques, en analyse de données et en langages statistiques tels que Python, R…Maîtrise des méthodes de machine learning (SVM, Random Forest, Kmeans…)Utilisation des outils d’intégration continue (Jenkins, Sonar…)Bonne connaissance des technologies Big Data les plus courantes : Hadoop, Pig, Hive, Spark, Hbase…Expérience sur une base de données et des connaissances en SQLAvantages :Participation au transportRTTTitre-restaurant / PanierType d'emploi : Temps plein, CDIExpérience:consultant data scientist (h/f) ou similaire: 3 ans (Requis)",il y a 1 jour ,/company/Inventiv-IT/jobs/Consultant-Data-Scientist-020425dddd7b595c?fccid=2301bee5373a0b4a&vjs=3
