salary_min,salary_max,salary_mean,rating_mean,rating_count,contract_contrat pro,contract_intérim,contract_temps plein,contract_indépendant,contract_cdd,contract_temps partiel,contract_cdi,contract_stage,contract_commission,contract_apprentissage,query_data+scientist,query_business+intelligence,query_data+analyst,query_developpeur
60000.0,60000.0,60000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60000.0,60000.0,60000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
,,,4.0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0
28090.0,54693.0,41391.5,3.0,2,0,0,1,0,0,0,1,0,0,0,1,1,1,0
,,,3.9,3505,0,0,1,0,0,0,1,0,0,0,1,0,0,0
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50000.0,50000.0,50000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
,,,3.8,2327,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,,3.6,96,0,0,0,0,0,0,1,0,0,0,1,0,0,0
,,,3.9,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1
31500.0,31500.0,31500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
55000.0,55000.0,55000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,,4.2,14,0,0,1,0,1,0,0,0,0,0,1,0,0,1
55000.0,55000.0,55000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
,,,4.8,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
,,,3.6,96,0,0,0,0,0,0,1,0,0,0,0,0,1,0
,,,3.8,640,1,0,1,0,0,0,0,1,0,1,0,0,1,0
,,,4.7,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0
,,,3.6,96,0,0,0,0,0,0,1,0,0,0,0,0,1,0
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,,3.6,96,0,0,0,0,1,0,0,0,0,0,0,0,1,0
26911.0,49402.0,38156.5,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0
,,,3.4,83,0,0,1,0,0,0,1,0,0,0,0,1,1,0
,,,3.6,402,0,1,1,0,0,0,0,0,0,0,0,0,1,0
,,,2.6,237,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,,3.4,83,0,0,0,0,0,0,1,0,0,0,0,1,1,0
,,,3.4,83,0,0,0,0,0,0,1,0,0,0,0,0,1,0
,,,3.2,33,0,0,0,0,0,0,1,0,0,0,0,1,0,0
,,,3.2,33,0,0,0,0,0,0,1,0,0,0,0,1,0,0
,,,3.9,614,0,0,1,0,0,0,1,0,0,0,1,1,0,1
,,,3.8,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28000.0,30000.0,29000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
10164.0,14784.0,12474.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,3.7,173,0,0,1,0,1,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108000.0,108000.0,108000.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
30000.0,40000.0,35000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,3.9,29832,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35000.0,45000.0,40000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,4.1,2479,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,4.1,2479,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,3.6,96,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30638.0,50557.0,40597.5,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,4.1,2479,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.9,29832,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.8,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31447.0,51210.0,41328.5,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,3.9,249,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
,,,3.8,526,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
45000.0,55000.0,50000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.8,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.4,83,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,4.4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.4,32,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35000.0,55000.0,45000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.5,109,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,3.6,854,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,3.8,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
