_id,query,title,company,rating_mean,location,salary,summary,sponso,contract,desc,rating_count,day_since,salary_origin_mode,salary_min,salary_max,salary_mean,date,query_commercial,contract_temps plein,contract_cdd,contract_apprentissage,contract_indépendant,contract_temps partiel,contract_stage,contract_intérim,contract_contrat pro,contract_cdi,location_dirty,dep
bb1e0f7e4b44965c,"[""commercial""]",Commercial B to B Itinérant,DPC,0.0,Nancy (54),2 100 € par mois,"Rémunération fixe + commissions, négociable selon profil et expérience.
Prospecte, développe et fidélise un portefeuille de clientèle pour la vente des produits…",0,"Temps plein, CDI","COMMERCIAL ITINÉRANT B To B H/F
L’entreprise familiale D.P.C., est spécialisée depuis plus de 30 ans, dans le mobilier à destination des collectivités et des médiathèques. Elle conçoit, fabrique, commercialise et installe ses produits.
Rattaché(e) au Responsable des Ventes, vous êtes le garant de l’application de la politique commerciale de l’entreprise et assurez le développement du Chiffre d’Affaires sur le secteur Grand-Est. Vos clients sont majoritairement des collectivités publiques.
Nous recherchons : Un commercial itinérant B To B H/F
Vos missions :
- Mise en œuvre du plan d’actions commerciales
- Prospecte, développe et fidélise un portefeuille de clientèle pour la vente des produits de l’entreprise selon les objectifs commerciaux
- Sélectionner et suivre les appels d’offres
- Élaborer des devis
- Participer à des salons et des expositions
- Réalise le suivi commercial des clients
- Garant de l’image de l’entreprise
- Veille à la satisfaction client
Basé(e) dans la région Grand-Est, la région est votre zone d’action (08,51,10,55,52,54,57,88,70,25,90,67,68). Quelques déplacements sont à prévoir au siège social à Bressuire (79300).
Votre Profil
Vous possédez une expérience dans le domaine commercial et ou le mobilier de collectivités.
Vous êtes reconnu(e) pour vos qualités relationnelles et vos aptitudes de négociation. Enfin vous faites preuve d’ autonomie, de rigueur et avez une connaissance des outils bureautiques. Et si en plus vous avez le goût du challenge et le sens de la satisfaction client, n’hésitez plus !
Rejoignez une équipe conviviale et dynamique.
Rémunération et avantages :
Poste en CDI
Véhicule de fonction
Smartphone, PC et matériels bureautiques mis à disposition
Statut : Agent de maîtrise
Rémunération fixe + commissions, négociable selon profil et expérience
Mutuelle d’entreprise
Avantages :
Véhicule de fonction
Type d'emploi : Temps plein, CDI
Salaire : 2 100,00€ /mois
Expérience:
commercial sédentaire: 5 ans (Requis)",0,Il y a plus de 30 jours,mois,2100.0,2100.0,2100.0,2020-04-20,1,1,0,0,0,0,0,0,0,1,Nancy ,54.0
5b12757c4cfc0faf,"[""commercial""]",Conseiller commercial H/F,Théobald Automobile,0.0,Thionville (57),,"Votre rémunération est composée d'une partie fixe et d'une partie variable, fonction de vos résultats.
Avez le goût du challenge et de l'atteinte d'objectifs…",0,"Temps plein, CDI","Actuellement 4ème génération de concessionnaire, la société Théobald est historique sur la place de Thionville. Du fait de notre forte croissance, nous ouvrons des postes de conseiller commercial supplémentaire.
De par son historique, le groupe recherche des profils souhaitant s’inscrire dans la durée. Dans cet esprit, nous mettons plusieurs avantages à dispositions de nos collaborateurs (véhicules de fonction, titres-restaurant, complémentaire très couvrante et prise intégralement à charge de l'employeur).
Nous recherchons des profils susceptibles de se fondre dans un collectif déjà existant.
Vos missions quotidiennes consistent à :
accueillir le client, être à son écoute, rechercher ses besoins, lui présenter les produits
proposer la reprise des véhicules des clients
argumenter et négocier pour conclure la vente
financer les véhicules vendus
gérer administrativement la vente
avoir une démarche pro active et un dialogue entreprise
participer à la mise en place du showroom, des opérations marketing...
Vous véhiculez l'image de la marque et les valeurs de l'entreprise. Vous devez vous tenir au courant des nouveautés produits, de la concurrence, des évolutions...
Informations complémentaires :
Votre rémunération est composée d'une partie fixe et d'une partie variable, fonction de vos résultats.
Jours de travail : du lundi au samedi avec un jour de récupération dans la semaine.
Intéressé(e) par ce poste, vous :
êtes passionné(e) d'automobile et avez une réelle volonté
êtes dynamique, enthousiaste, volontaire et avez une bonne résistance au stress
êtes capable d'absorber une amplitude horaire de travail importante et dépendante du client
avez le goût du challenge et de l'atteinte d'objectifs commerciaux mensuels
possédez de réelles qualités d'écoute, êtes autonome et avez un bon esprit d'équipe
maîtrisez les différentes techniques de vente, prospection téléphonique, suivi client...
Formation :
Vous êtes issu(e) d'une formation BAC+2 orienté Vente et/ou titre de vendeur confirmé GNFA et justifiez d'une expérience similaire dans le domaine de l'automobile.
Avantages :
Véhicule de fonction
Titre-restaurant / Panier
Type d'emploi : Temps plein, CDI
Salaire : 30 000,00€ à 60 000,00€ /mois
Expérience:
conseiller commercial h/f ou similaire: 1 an (Souhaité)",0,Il y a plus de 30 jours,,,,,2020-04-20,1,1,0,0,0,0,0,0,0,1,Thionville ,57.0
37af0cf9a9e005eb,"[""commercial""]",Commercial BtoC BtoB H/F,Trium energy,0.0,Verdun (55),1 500 € - 3 500 € par mois,"Nous vous offrons une vraie formation gratuite pour les débutants, et vous accompagnons dans vos missions du quotidien pour atteindre ensemble vos objectifs et…",0,"Temps plein, CDI","Notre société Trium Energy, est spécialisée dans les économie d'énergies auprès des entreprises et particuliers.
Entreprise en constante évolution, nous sommes le partenaire de grands acteurs de l'énergie en France et d'autre part, nous commercialisons des solutions d'isolation de l'habitat.
Dans ce cadre nous recherchons un conseiller commercial (H/F) dans toute la région de Verdun et ses environs.
Vous êtes volontaire, rigoureux, en quête d'un nouveau challenge.
Vous recherchez une société qui intègre toutes les personnalités au cœur de sa stratégie de développement et œuvre au service des particuliers et des professionnels.
Nous vous offrons une vraie formation gratuite pour les débutants, et vous accompagnons dans vos missions du quotidien pour atteindre ensemble vos objectifs et ceux de l'entreprise.
Votre profil
Débutant ou confirmé
Ponctuel, rigoureux et tenace
Qualités relationnelles et esprit d'équipe
Grande ambition
Permis B non indispensable
Vos missions
Proposer un nouveau contrat d'énergie aux particuliers ou professionnels
Faire réaliser des économies d'énergie aux particuliers en proposant l'isolation de l'habitat.
Rémunération liée à la performance.
Poste à pourvoir de suite.
Possibilité d'évolution rapide !
Contrat en CDI, indépendants acceptés.
Aucun frais ne sera demandé pour les chercheurs d'emploi.
Type d'emploi : Temps plein, CDI
Salaire : 1 500,00€ à 3 500,00€ /mois",0,Il y a plus de 30 jours,mois,1500.0,3500.0,2500.0,2020-04-20,1,1,0,0,0,0,0,0,0,1,Verdun ,55.0
ca5a2c91e9632ad9,"[""commercial""]",Assistant/e commercial/e / Réception à Kehl,Autohaus Tabor GmbH,0.0,Strasbourg (67),,"Orientation vers des objectifs et des solutions concrètes.
En tant qu'entreprise familiale moderne, le groupe automobile TABOR (Renault et multimarques) ne…",0,"Temps plein, CDI","En tant qu'entreprise familiale moderne, le groupe automobile TABOR (Renault et multimarques) ne cesse de croître depuis plus de 40 ans d'activité et compte déjà plus de 200 employés.
Nous sommes présents sur 4 lieux stratégiques de vente qui sont Achern, Kehl Pont de l´Europe, Kehl-Sundheim et Freiburg. Nous avons été récemment gratifiés du prix de DEALER OF THE YEAR et appartenons dès lors au top-5 des meilleurs concessionnaires Renault en Allemagne. A l'inverse des concessionnaires classiques, Autohaus TABOR se spécialise particulièrement dans l'import et la vente de véhicules neufs et d´occasions.
#greatplacetowork #entreprisefamiliale #CarEnthusiasts
Join our team of car enthusiasts!
A temps plein ou a temps partiel (min. 30h par semaine, de préférence dans l'après-midi)
#YOU
Fibre commerciale
Excellente capacité d'expression et de communication
Très bon niveau en Français et Allemand, à l’écrit et à l’oral
Vous êtes organisé(e) et fiable
Orientation vers des objectifs et des solutions concrètes
Bonne maîtrise du Pack Office
Intéret pour l‘automobile
Diplôme en poche d’assistant(e) commercial(e), assistant(e) de manager ou équivalent (niveau BAC PRO, BTS, DUT)
#YOUR JOB
A la réception vous accueillez et renseignez des clients français et allemands (en personne et au téléphone)
En tant qu'assistant commercial (H/F), vous soutenez les responsables de site sur le plan administratif
Aide à la vente; collaboration étroite avec l'équipe commerciale
Vous demandez l'immatriculation des voitures
Prise de rendez-vous
Gestion des réclamations
Multiples tâches d‘organisation
# WHY US
Un avenir assuré dans une entreprise en pleine croissance
Une équipe bilingue
Des perspectives d´évolution
Une collaboration de long-terme
Type d'emploi : Temps plein, CDI
Expérience:
assistant commercial H/F: 1 an (Souhaité)
Langue:
Deutsch (Souhaité)
Télétravail:
Non",0,Publiée à l'instant,,,,,2020-05-20,1,1,0,0,0,0,0,0,0,1,Strasbourg ,67.0
33d961b5187f76c9,"[""commercial""]",Conseiller commercial H/F,CHEZ SWITCH,0.0,Metz (57),30 000 € - 40 000 € par an,"Rémunération brute fixe + prime variable mensuelle.
Vous aimez le challenge, vous surpasser, et vous ne visualisez pas les objectifs comme un CAP à atteindre…",0,"Temps plein, CDI","CHEZ SWITCH est spécialisé dans les économies quel que soit le domaine.
Nos partenaires commerciaux implantés dans 30 villes en France peuvent s'appuyer sur notre excellence opérationnelle.
Vos missions :
En qualité de commercial, vous jouez un rôle crucial dans le développement exponentiel de nos boutiques.
Pour ce faire :
- Vous développez nos ventes principalement en Fibre sur tablette (fournie)
- Vous analysez, identifiez et ciblez nos futurs clients à partir de fichiers fournis par l'entreprise
- Vous avez pour objectif de démarcher et de convaincre tous les particuliers et professionnelles de votre secteur
- Vous développez un discours commercial permettant de présenter efficacement et de manière pertinente tous les bénéfices de nos services innovants
Votre profil :
- Issu du domaine commercial ou en reconversion professionnelle
- Vous savez ou voulez apprendre à négocier, conclure des ventes
- Vous aimez le challenge, vous surpasser, et vous ne visualisez pas les objectifs comme un CAP à atteindre mais à dépasser
- Vous rêvez d'une société qui vous permettra d'évoluer en fonction de vos résultats.
Notre offre :
- Un salaire compétitif et un variable très attractif non plafonné qui récompense vos performances
- Une opportunité de carrière dans notre start-up jeune et dynamique
- Un plan de progression précis dans une structure qui favorise la promotion interne
- Un environnement de travail agréable
- Un management de proximité vous permettant d'être formé à nos technique de ventes
Statut :
CDI – 35h
Rémunération brute fixe + prime variable mensuelle
Date d’embauche : dès que possible
Type d'emploi : Temps plein, CDI
Salaire : 30 000,00€ à 40 000,00€ /an
Expérience:
Conseiller Commercial: 1 an (Souhaité)
Lieu:
Metz (57) (Souhaité)",0,il y a 18 jours,an,2500.0,3333.3333333333335,2916.666666666667,2020-05-02,1,1,0,0,0,0,0,0,0,1,Metz ,57.0
a916e745672d328d,"[""commercial""]",Commercial H/F,Rentokil Initial,3.9,Mulhouse (68),,"Un véhicule de Fonction + carte essence, un téléphone portable, tablette, ordinateur.
Votre tempérament de chasseur, votre écoute et sens du client, votre…",0,"Temps plein, CDI","Avec plus de 30 000 collaborateurs dans 60 pays, Rentokil Initial est le numéro 1 mondial dans les services aux entreprises.
Expert de l'indispensable à travers ses marques Rentokil, Initial et Ambius, le groupe prend en charge les problématiques quotidiennes des entreprises en proposant des solutions innovantes et respectueuses de l'environnement en matière de bien-être et de santé au travail.
Pour accompagner notre forte ambition de développement sur le marché porteur de l'hygiène, nous recherchons un(e) :
Commercial H/F - Mulhouse
Après une période d’intégration et de formation à nos produits et contrats de service, nous vous confions la responsabilité du développement commercial de votre secteur auprès des professionnels.
Vos principales missions sont :
Prospection commerciale : Vous prospectez les PME/PMI et leur proposez nos prestations de services
Développement et fidélisation : vous répondez aux demandes clients de manière réactive en leur apportant des solutions adaptées à leurs attentes. Vous instaurez et entretenez une relation de confiance avec vos clients afin de leur proposer de nouveaux services et renouveler les contrats.
Conseil : Pour chaque démarche commerciale, votre priorité est la satisfaction de vos clients, vous répondez de manière adaptée à leurs besoins et les conseillez sur nos solutions.
Tous les moyens vous sont offerts pour vous épanouir et réussir dans vos missions :
Une marque forte et le soutien d’un grand groupe
Une formation à nos techniques de ventes et un management de proximité
Une rémunération attractive et non plafonnée
Un véhicule de Fonction + carte essence, un téléphone portable, tablette, ordinateur
Autres avantages : Mutuelle, intéressement et participation
De formation commerciale Bac+2 minimum, vous disposez d’une première expérience réussie dans la vente de prestations de services.
Organisé(e) et autonome, vous aimez relever des défis, conquérir et développer vos clients !
Votre tempérament de chasseur, votre écoute et sens du client, votre ténacité et votre dynamisme seront autant d'atouts permettant votre réussite au sein de notre groupe.
Type d'emploi : Temps plein, CDI
Avantages :
Véhicule de Fonction
Expérience:
commercial H/F: 3 ans (Souhaité)
Certificats et autres accréditations:
Permis B (Souhaité)
Télétravail:
Temporairement en raison du COVID-19",597,Publiée à l'instant,,,,,2020-05-20,1,1,0,0,0,0,0,0,0,1,Mulhouse ,68.0
6dfdecaaa51fb412,"[""commercial""]",Assistant(e) commercial(e),Codexial Laboratoire Dermatologique,0.0,Vandœuvre-lès-Nancy (54),30 000 € - 35 000 € par an,"Codexial est un laboratoire pharmaceutique indépendant, créé en 2007, par Pierre Treffel, Docteur en Pharmacie, expert en biologie cutanée et pharmacie…",1,"Temps plein, CDI","ET SI VOUS FAISIEZ PARTIE D’UNE AVENTURE STIMULANTE, ENRICHISSANTE, QUI CONCOURE AU BIEN ÊTRE DES PATIENTS ET DES CONSOMMATEURS ?
Codexial est un laboratoire pharmaceutique indépendant, créé en 2007, par Pierre Treffel, Docteur en Pharmacie, expert en biologie cutanée et pharmacie galénique. Codexial conçoit et formule des soins dermo-cosmétiques hautement concentrés, innovants, recommandés par les professionnels de santé et vendus en pharmacie, parapharmacies. N°1 des traitements sur mesure en dermatologie, Codexial propose plus de 100 formules adaptées aux besoins des professionnels de santé et de leurs patients.
Nous recrutons à proximité de Nancy, un(e) Assistant(e) Commercial(e) h/f (CDI).
CE QUE NOUS VOUS PROPOSONS
Un secteur d’activité tourné vers l’avenir (la Santé, le bien-être & la Beauté),
Une entreprise pérenne, innovante et reconnue sur son marché : Leader sur le marché des traitements sur mesure en dermatologie.
Un management participatif et de proximité dans une ambiance conviviale
Vous y vivrez également des événements fédérateurs (réunions, séminaire, team building…),
Un parcours complet d’intégration pour vous offrir toutes les chances de succès,
De belles perspectives de croissance au sein d’un laboratoire Français, indépendant, en pleine expansion et tourné vers l’avenir.
Des valeurs fortes telles que : Bienveillance, Responsabilités, Confiance, Autonomie & Croissance Collective ; une fierté d’appartenance à une entreprise à taille humaine, dynamique, solidaire, ambitieuse et en pleine croissance.
Un package de rémunération intégrant des avantages financiers et sociaux attractifs : intéressement +++, mutuelle/prévoyance, tickets restaurant, gestion du temps de travail flexible, CP supplémentaires
VOTRE MISSION
Sous la supervision de la Direction Commerciale, vous avez pour objectif principal d’accompagner et de veiller au bon fonctionnement du réseau commercial. Vous assurez des rôles de soutien, d’organisation, de développement, de suivi ainsi que de conseil dans l’adaptation des méthodes et procédures liées à l’évolution du réseau commercial. Vous optimisez les moyens promotionnels et financiers mis à votre disposition, tout en intégrant la politique commerciale (excellence opérationnelle) en vue de garantir l’accroissement du chiffre d’affaire.
Vous êtes partie prenante de la promotion et la commercialisation des soins Codexial auprès des clients ou prospects (pharmacies et parapharmacies), ainsi que de l’atteinte des objectifs dans le respect des règles et process.
En tant qu’Assistant(e) Commercial(e), vous serez principalement en lien avec les équipes terrains, les Managers et l’Administration des Ventes. Dans ce cadre, vos principales missions seront les suivantes :
Seconder la direction commerciale et participer au développement du chiffre d’affaire au travers d’actions commerciales ciblées ou auprès des équipes terrain.
Actualiser les tableaux de bords et de pilotages liés aux ventes et performances commerciales, ainsi que la mise à jour des bases de données (outils CRM, plateforme)
Assurer l’ensemble des missions administratives nécessaire au bon déroulement du réseau commercial
Rédiger des courriers, contrats ou tous documents pour le réseau commercial
Organiser les temps forts de l’équipe commerciale (Séminaire, Congrès, Réunions…)
Procéder aux réservations de transports et d’hébergement de chacun
Prévoir, gérer et doter les équipes avec le matériel nécessaire aux campagnes commerciales ou évènements spécifiques
VOS QUALITES POUR REUSSIR
Une capacité à faire preuve d’un bon relationnel et à communiquer avec des interlocuteurs variés,
Tout en travaillant en parfaite synergie avec le reste de l’équipe Codexial (Intelligence Relationnelle)
Un esprit vif, réactif, orienté business et stimulé par les environnements évolutifs et exigeants.
De l’organisation et de la rigueur pour faire preuve d’anticipation et gérer les priorités,
Une envie de partager votre énergie, votre enthousiasme et votre expérience
Une appétence pour relever des challenges, négocier et faire preuve de ténacité
Une aisance dans l’utilisation des outils informatiques, du Pack Office et en particulier d’Excel, mais aussi l’utilisation des connexions à distance ou tout autres solutions digitales pour augmenter l’efficience.
De formation commerciale (Bac +2/3), idéalement vous justifiez d’une expérience réussie de 2 à 3 ans dans des fonctions similaires. Une expérience terrain serait un plus, elle permettrait de mieux comprendre les enjeux commerciaux et les risques.
À PROPOS DE NOUS
Notre engagement : offrir toutes les conditions nécessaires à votre réussite et à votre performance. Cette opportunité vous permettra de construire un projet professionnel durable, riche et varié.
Notre vision du recrutement : chez nous, pas de clonage mais une sélection rigoureuse de personnalités partageant notre culture d’entreprise. C’est la raison pour laquelle nous accordons une importance capitale, à ce que chaque recrutement soit le fruit d’une décision collégiale, réfléchie et assumée, empreinte d’envie et d’optimisme, pour vous, comme pour nous.
Type de contrat : CDI
Lieu de résidence souhaité : Proche de Nancy
Prise de poste souhaitée : Septembre 2020
Devenez, comme nous, des passionnés de la Santé et de la Beauté.
« FORMULER DES PRODUITS SUR MESURE, AGREABLES ET EFFICACES,
QUI CONCOURENT AU BIEN-ÊTRE DES PATIENTS ET DES CONSOMMATEURS.
VOILA CE QUI ANIME CHAQUE JOUR NOS EQUIPES »
Dr Pierre Treffel – Président Fondateur de Codexial
Postulez dès maintenant !
Avantages :
Épargne salariale
Titre-restaurant / Panier
Type d'emploi : Temps plein, CDI
Salaire : 30 000,00€ à 35 000,00€ /an
Expérience:
assistant commercial H/F: 1 an (Requis)
Télétravail:
Oui",0,Il y a plus de 30 jours,an,2500.0,2916.6666666666665,2708.333333333333,2020-04-20,1,1,0,0,0,0,0,0,0,1,Vandœuvre-lès-Nancy ,54.0
75c5064f1482addc,"[""commercial""]",Commercial Débutant Futur Manager H/F,UNAFERM,4.6,Épinal (88),35 000 € - 55 000 € par an,"Rémunération fixe + variable liée à vos résultats : commissions + primes importantes + challenges.
Avec une ancienneté moyenne de 14 ans ils œuvrent au…",1,"Temps plein, CDI","Unaferm :
· Concepteur, fabricant et installateur de fenêtres, portes et volets depuis 1969.
· Chiffre d’affaires du groupe Unaferm de 30 Millions d’€ doublé sur ces 7 dernières années !
· De vraies opportunités de carrière dans un groupe en forte croissance.
· Un savoir-faire technique irremplaçable.
· La volonté de placer le client au cœur de nos attentions.
· Une entreprise performante à valeurs familiales.
· Des collaborateurs aux qualités hors-normes.
· Des conditions et des rythmes favorables à l’épanouissement et à la productivité
Commercial Débutant Futur Manager H/F
CDI – Temps plein
La mission
Responsable de la clientèle active, vous :
· Développez votre chiffre d’affaires sur un secteur géographique qui vous est exclusif.
· Bénéficiez d’un important fichier clients particuliers propriétaires : présence d’Unaferm sur le secteur depuis 42 ans.
· Êtes responsable de la construction du projet avec les clients.
· Métrez, chiffrez et négociez le projet de remplacement des fenêtres, portes et volets.
· Suivez toutes les étapes du projet : de la commande jusqu’à la pose afin de garantir la parfaite satisfaction
· Êtes l’interlocuteur privilégié de vos clients
Les qualités requises
· Devenez une meilleure version de vous-même en faisant carrière dans un métier de contact ou le respect, les relations humaines et la fidélisation client sont primordiales.
· Audacieux, vous avez le désir de bien gagner votre vie et d'être rémunéré sur vos résultats.
· Expérimenté(e) ou changement de carrière : Unaferm s’entoure prioritairement de collaborateurs ayant une ambition et une personnalité forte.
Une carrière qui progresse en continu
· Au démarrage, une solide formation pour vous enseigner notre méthode de vente unique
· Des ateliers de développement et conférences en ligne pour vous former en continu et apporter une réelle valeur ajoutée à vos clients
· Un accompagnement de proximité et intensif sur le terrain
· Devenez un expert reconnu !
Et ensuite ?
· Unaferm favorise l’évolution vers des fonctions d’encadrement pour les meilleurs profils
Sécurité et rémunération progressive
· Rémunération fixe + variable liée à vos résultats : commissions + primes importantes + challenges.
Rémunération moyenne annuelle : 35 000 € à 55 000 €
· Véhicule de société selon profil
· Avantages sociaux : mutuelle, prévoyance, prime de participation, CE.
· Tablette et logiciels de suivi clients
· Secteur local et exclusif contractuel
· Statut salarié, CDI à temps complet.
· Chaque jour et depuis 50 ans, nos équipes passionnées et expérimentées guident et accompagnent nos clients. Avec une ancienneté moyenne de 14 ans ils œuvrent au quotidien à aider nos clients à prendre la bonne décision pour améliorer de leur lieu d’habitation.
Et vous, quel sera votre parcours chez Unaferm ?
Type d'emploi : Temps plein, CDI
Salaire : 35 000,00€ à 55 000,00€ /an
Avantages :
Épargne Salariale
Horaires Flexibles
Véhicule de Fonction",39,il y a 5 jours,an,2916.6666666666665,4583.333333333333,3750.0,2020-05-15,1,1,0,0,0,0,0,0,0,1,Épinal ,88.0
e6337df1da1d2234,"[""commercial""]",Attaché commercial B to B H/F,ONET,3.4,Metz (57),2 000 € - 2 500 € par mois,"ONET Propreté et Services, acteur référent de la propreté en France et en Europe, avec plus de 819 millions d’euros de chiffre d'affaires et plus de 45 000…",1,"Temps plein, CDI","ONET Propreté et Services, acteur référent de la propreté en France et en Europe, avec plus de 819 millions d’euros de chiffre d'affaires et plus de 45 000 collaborateurs, recrute pour sa Direction Régionale Est : un(e) attaché(e) commercial(e) sur le secteur géographique de la Meurthe et Moselle et des Vosges
Sous la responsabilité du Directeur du Développement Régional, vos missions principales seront notamment les suivantes :
- Créer et exploiter un fichier actif de prospects dans un outil CRM
- Comprendre et analyser les besoins du prospect
- Réaliser les devis et offres commerciales en vérifiant la faisabilité du chantier et présenter l’offre aux clients
- Négocier et vendre des services
- Assurer les rendez-vous physiques avec les prospects et leur présenter nos activités
- Effectuer un reporting hebdomadaire auprès de votre responsable hiérarchique
Bâtisseur dans l’âme vous souhaitez intégrer une équipe jeune et dynamique et une entreprise leader sur son marché.
Vous avez déjà démontré au travers de vos expériences votre capacité à conquérir de nouveaux marchés dans l’univers du Service B to B et dans le respect des valeurs et de la stratégie d’entreprise.
Vous recherchez une entreprise dans laquelle vous pourrez vous épanouir et évoluer
Titulaire d’une formation supérieure en commerce, vous justifiez d’une première expérience significative sur un poste similaire.
Vous êtes reconnu(e) pour votre excellent relationnel et votre goût du terrain prononcé.
Vous possédez de réelles qualités rédactionnelles et êtes rompu(e) aux techniques de négociation.
Parfaite maîtrise du Pack Office exigée.
Type d'emploi : Temps plein, CDI
Salaire : 2 000,00€ à 2 500,00€ /mois
Avantages :
Véhicule de Fonction
Expérience:
commercial B to B H/F: 3 ans (Souhaité)",937,Publiée à l'instant,mois,2000.0,2500.0,2250.0,2020-05-20,1,1,0,0,0,0,0,0,0,1,Metz ,57.0
def92dacfcd7081f,"[""commercial""]",Commercial en pharmacie - 74 H/F,SOFIP,0.0,Annecy (74),35 000 € - 50 000 € par an,"Un système de rémunération attractif (fixe + variable non plafonné),.
Vous êtes reconnu(e) pour vos talents de négociateur et de développeur ainsi que pour…",1,"Temps plein, CDI","Et si votre prochain challenge de Commercial se réalisait dans l’industrie pharmaceutique ?
SOFIP est un prestataire de service, qui accompagne depuis plus de 35 ans des laboratoires dans l’externalisation de leurs forces de vente.
Dans le cadre de notre partenariat pérenne avec l’un de nos clients, leader sur son marché, nous recrutons :
Un(e) Commercial(e) en Pharmacie (H/F)
Zone géographique : 74
Votre mission :
Sous la responsabilité de votre Directeur Régional, votre mission principale consiste à développer les parts de marché et le portefeuille clients/prospects sur votre secteur.
Pour cela, vous devrez :
· Promouvoir le laboratoire et l'ensemble de ses gammes auprès des pharmaciens
· Assurer un suivi qualitatif et régulier de chaque client pour développer le CA
· Négocier l’ensemble des conditions dans le respect de la politique commerciale
· Construire une relation pérenne et professionnelle avec vos clients et partenaires avec un objectif de performance commerciale partagée
· Analyser les chiffres de votre activité, construire vos plans d’actions et de tournées,
· Assurer un reporting quotidien de votre activité
Ce que nous proposons :
· L’opportunité d’intégrer une société ambitieuse dans un contexte de réussite et de développement.
· Un programme de formation initiale et continue
· Un management de proximité.
· Un système de rémunération attractif (fixe + variable non plafonné),
· Véhicule de fonction, carte essence, iPad, forfait repas….
· De réelles possibilités d’évolution en interne.
Ce que nous recherchons :
Diplômé(e) d’une formation supérieure dans le domaine commercial (bac +2/5), vous témoignez d’une première expérience significative en tant que commercial, idéalement auprès d'une clientèle de professionnels.
Vous êtes reconnu(e) pour vos talents de négociateur et de développeur ainsi que pour votre enthousiasme et votre dynamisme.
Rigoureux, vous savez vous organiser pour être efficace.
Tenace, vous avez la culture du résultat et du challenge.
Nous vous formons à nos métiers… Osez ce nouveau challenge et rejoignez-nous !
Postulez sur notre site carrière : https://recrutement.sofip-sa.fr/offre-emploi-1350-o=8
Avantages :
RTT
Titre-restaurant / Panier
Véhicule de fonction
Type d'emploi : Temps plein, CDI
Salaire : 35 000,00€ à 50 000,00€ /an
Expérience:
commercial H/F: 1 an (Souhaité)
Formation:
Bac +2 (BTS, DUT, DEUG) (Requis)",0,il y a 16 jours,an,2916.6666666666665,4166.666666666667,3541.666666666667,2020-05-04,1,1,0,0,0,0,0,0,0,1,Annecy ,74.0
