_id,query,title,company,rating_mean,location,salary,summary,sponso,contract,desc,rating_count,day_since,salary_origin_mode,salary_min,salary_max,salary_mean,date,query_ingenieur,contract_cdd,contract_contrat pro,contract_indépendant,contract_temps partiel,contract_temps plein,contract_apprentissage,contract_stage,contract_cdi,contract_intérim,location_dirty,dep,salary_band
24e8f65f585b3a17,"[""ingenieur""]",INGENIEUR SOLUTION DE COMMUNICATIONS UNIFIEES (H/F),Euro Information,3.9,Strasbourg (67),,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…",0,"Temps plein, CDI","Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé par le Groupe.

Les activités de développement et de production informatique au niveau national et international sont assurées par environ 3200 salariés répartis sur plusieurs sites géographiques au niveau national : Strasbourg, Nancy, Dijon, Orléans, Lyon, Lille, Cergy, Val de Fontenay, Paris et Nantes.

Mission principale

Vous ferez partie des équipes Systèmes & Réseaux qui ont en charge La gestion et l'évolution des solutions de communications unifiées, streaming vidéo et animation de réunion.

Activités et tâches spécifiques

Au sein de l'équipe « Communications Unifiées » à Strasbourg :
Assurer le bon fonctionnement des services (messagerie instantanée, présence, webconference, clicToCall, streaming vidéo) sur un périmètre de volumétrie conséquente,
Contribuer à l'administration et au support de l'ensemble des solutions déployées On Premise dont Cloud Privé en mode container
Concevoir, évaluer et déployer les évolutions de ces infrastructures,
Devenir un référent de ces environnements techniques.

Connaissances et compétences

De formation supérieure Bac+5, vous avez une bonne compréhension technique des technologies VoIP.
La connaissance de solutions Skype for Business serait un plus.
Une bonne maîtrise de l'anglais est requise.
Savoir-être - savoir-faire

Vous avez une forte capacité d'adaptation aux nouvelles technologies.
Vous êtes reconnu(e) pour votre esprit d'analyse, votre méthodologie et capacité de synthèse.
Vous disposez d'un bon relationnel avec un véritable esprit d'équipe, le sens du service clients et l'envie de vous investir dans des projets.
Autres informations

Le poste basé à Strasbourg est à pourvoir immédiatement.

Vous bénéficierez d'avantages « Convention Collective Banque » comme :
13ème mois,
RTT,
Prime d'intéressement et de participation,
Abondement,
Conditions bancaires avantageuses,
Régime de Frais de Santé et de Retraite très attractif,
CE dynamique et très complet
Et encore plein d'autres avantages à découvrir...
Vous évoluez dans un environnement stimulant basé sur un management de proximité. Un Groupe qui s'engage pour ses salariés par la formation et l'évolution professionnelle.
Vous recherchez un projet innovant Alors Rejoignez la Team EI en postulant!",9,il y a 4 jours,,,,,2020-05-16,1,0,0,0,0,1,0,0,1,0,Strasbourg ,67.0,
c58b5fb8d30d7a10,"[""ingenieur""]",INGENIEUR CHIMISTE (H/F),ACCOR LUBRIFIANTS,0.0,Cholet (49),,"Ingenieur chimistre ou similaire: 1 an (Souhaité).
Groupe ARMONI, situé à CHOLET, fabrique et distribue, au travers de ses filiales, des gammes complètes de…",0,"Temps plein, CDI","PRESENTATION DE LA SOCIETE :
Groupe ARMONI, situé à CHOLET, fabrique et distribue, au travers de ses filiales, des gammes complètes de lubrifiants et produits annexes tels que liquide de refroidissement, lave-glace et produits divers destinés à l’automobile, le transport, l’industrie …
DESCRIPTION DU POSTE :
Ingénieur chimiste spécialiste en lubrifiants (H/F)
Vous aurez la responsabilité du développement de nos formulations ainsi que des analyses labo et du process qualité.
En lien avec le responsable de production et le service achats, vous pilotez les projets de Recherche & Développement dans le respect de la sécurité et des priorités définies par la direction.
DESCRIPTION DU PROFIL RECHERCHE :
Vous devez justifier d’une expérience dans le secteur des lubrifiants, être très motivé et rigoureux ; vous avez une bonne connaissance des produits.
Type d'emploi : Temps plein, CDI
Expérience:
ingenieur chimistre ou similaire: 1 an (Souhaité)",0,Il y a plus de 30 jours,,,,,2020-04-20,1,0,0,0,0,1,0,0,1,0,Cholet ,49.0,
fcc7802e5c9bbdbb,"[""ingenieur""]",Technicienne Recherche et Développement H/F,Choucrouterie Meyer Wagner,0.0,Krautergersheim (67),1 488 € - 1 819 € par mois,"Formation : profil élève ingénieur en dernière année ingénieur agroalimentaire.
La choucrouterie Meyer Wagner est implantée à Krautergersheim, dans le Bas-Rhin…",0,"Temps plein, Stage","Contexte :
La choucrouterie Meyer Wagner est implantée à Krautergersheim, dans le Bas-Rhin en Alsace. Elle est spécialisée traditionnellement dans la transformation du chou à choucroute par le procédé de fermentation lactique. Dernièrement, son activité se diversifie en proposant de nouveaux légumes suivant le même procédé. Ce panel lui offre de nouvelles opportunités sur les marchés de distribution bio. Elle a à cœur de valoriser un savoir-faire ancestral pour faire face aux défis de demain, à savoir une promotion du terroir, une valorisation du végétal dans l’alimentation, la découverte de saveurs oubliées.
Objectifs / Missions :
- Développement et suivi de la gamme existante de légumes lacto-fermentés bio de notre marque Ferments. Cela concerne plusieurs volets :
o Suivi des mises en fermentations
o Suivi des productions, encadrement des équipes
- Développement d’une nouvelle gamme pour l’horizon 2020-2023 :
o Aspects techniques : contraintes propres au procédé de fermentation lactique.
o Adaptation / mise en place du procédé
o Formation et encadrement du personnel
o Rédaction des fiches techniques, suivi des tests de vieillissement (organoleptiques et microbiologiques)
- Veille concurrentielle
Vous travaillerez en étroite collaboration avec le service qualité ainsi que nos partenaires commerciaux pour la mise en place et le bon déroulement des opérations. Il suppose la mobilisation de compétences transverses allant de l’aspect marketing, aux contraintes de production, aux aspects qualité et approvisionnements, etc. La société de taille humaine suppose une polyvalence et une adaptation sur différents thèmes, des missions annexes s’ajouteront à ces thématiques principales.
Profil du candidat :
Formation : profil élève ingénieur en dernière année ingénieur agroalimentaire
Qualités requises : Autonomie, polyvalence et adaptabilité, qualités relationnelles, force de proposition, titulaire du permis B avec un véhicule disponible (pour venir sur site).
Type d'emploi : Temps plein, Stage
Salaire : 1 488,00€ à 1 819,00€ /mois
Expérience:
technicienne recherche et développement h/f ou similaire: 1 an (Souhaité)",0,Publiée à l'instant,mois,17856.0,21828.0,19842.0,2020-05-20,1,0,0,0,0,1,0,1,0,0,Krautergersheim ,67.0,0.0
a69939641a2c0f25,"[""ingenieur""]",INGENIEUR LOGICIEL TRAITEMENT SIGNAL (H/F),Atos,3.5,Bezons (95),,"Diplômé d'un Bac +5 (université ou école d'ingénieur) vous disposez d'une expérience en développement c++.
Dans le cadre de notre activité Electronic Warfare,…",0,,"À propos d’Atos

Atos est un leader international de la transformation digitale avec plus de 110 000 collaborateurs dans 73 pays et un chiffre d’affaires annuel de plus de 11 milliards d’euros. Numéro un européen du Cloud, de la cybersécurité et des supercalculateurs, le groupe fournit des solutions intégrées de Cloud Hybride Orchestré, Big Data, Applications Métiers et Environnement de Travail Connecté. Partenaire informatique mondial des Jeux Olympiques et Paralympiques, le Groupe exerce ses activités sous les marques Atos, Atos Syntel, et Unify. Atos est une SE (Société Européenne) cotée sur Euronext Paris et fait partie de l’indice CAC 40.

La raison d’être d’Atos est de contribuer à façonner l’espace informationnel. Avec ses compétences et ses services, le groupe supporte le développement de la connaissance, de l’éducation et de la recherche dans une approche pluriculturelle et contribue au développement de l’excellence scientifique et technologique. Partout dans le monde, Atos permet à ses clients et à ses collaborateurs, et plus généralement au plus grand nombre, de vivre, travailler et progresser durablement et en toute confiance dans l’espace informationnel.

Dans le cadre de notre activité Electronic Warfare, qui produit des systèmes de guerre électronique, nous recherchons un ingénieur en développement c++ pour rejoindre l'un de nos projet visant à intégrer des standards de communication sur un modem.

Le poste, à dominante logicielle, comprend :
Le développement et l'intégration en C/C++
La gestion de configuration / Contrôle de version via GIT
Le suivi des faits techniques : prise en compte des remontées du client suites aux livraisons.
L' identification des bugs / bug tracking / correctifs logiciels / reproduction sur banc de test
La gestion d’environnement de tests de non régression : scripts / stimuli / scoreboards / automatisation Définition
La validation sur banc de test (modem, SDR, analyseur de spectre, émulation canal)
La spécification d’interfaces
La modélisation sous Matlab
Les ""plus"" pour ce poste :
connaissances en communications / numériques / algorithmie
communications HF / cellulaires
Diplômé d'un Bac +5 (université ou école d'ingénieur) vous disposez d'une expérience en développement c++.

Le poste donnant accès à des informations sensibles vous êtes habilitable confidentiel défense.

INFORMATIONS ADDITIONNELLES :
Chez Atos la diversité est au cœur de notre politique RH. C'est pourquoi Atos a mis en place un accord relatif à l’égalité professionnelle entre les hommes et les femmes. Par ailleurs, nos métiers sont tous accessibles aux personnes en situation de handicap, et ce quelle que soit la nature de leur handicap.",2445,Il y a plus de 30 jours,,,,,2020-04-20,1,0,0,0,0,0,0,0,0,0,Bezons ,95.0,
3db70b50edb1b8b2,"[""ingenieur""]","Ingénieur, chargé de mission en géotechnique",Kaena,0.0,Annecy (74),28 000 € - 40 000 € par an,"Ingénieur, chargé de mission en géotechnique ou similaire: 1 an (Souhaité).
Vous postulez pour une entreprise à taille humaine (45 personnes) où chacun…",0,"Temps plein, CDI","Entreprise :
Vous postulez pour une entreprise à taille humaine (45 personnes) où chacun contribue activement à la réussite et à la bonne ambiance générale.
Vous vous inscrivez dans nos valeurs de respect, de courage et de mérite.
Vous partagez nos priorités de sécurité, qualité et rentabilité.
Descriptif du poste :
Ingénieur(e) chargé(e) de mission géotechnique, vous suivez et gérez les missions d’investigation de type G1, G2, G3, G4 et G5.
Vous établissez les devis, managez les équipes de sondage et de laboratoire, réalisez les rapports géotechniques et assurez un suivi de vos clients et de leur facturation. Vous travaillez sur des projets (bâtiments, ouvrages d'art etc.) situés en plaine et en montagne.
La maîtrise des logiciels KREA, FOXTA, GEOSTAB, TALREN, PLAXIS est un plus.
Lieu :
Vous travaillez dans l’équipe du pôle Ingénierie, basée à Annecy sur des projets régionaux ou nationaux.
Statut, type de contrat, convention collective :
Vous postulez pour un contrat à durée indéterminée avec un statut cadre et sous la convention collective SYNTEC avec une période d’essai de 3 mois.
Niveau d'étude, expérience :
Vous possédez un Bac + 5 minimum (Polytech, Master Géologie Appliquée, Géologie de l’aménagement, ENSG), avec ou sans expérience mais de préférence avec 4 ans d’expérience minimum
Rémunération et avantages sociaux :
En fonction de votre expérience la rémunération pourra aller de 28 à 40 k€ annuel.
Vous bénéficierez d’une mutuelle de qualité, d’une prévoyance et d'un contrat d'intéressement.
Divers :
Vous êtes titulaire du permis B.
Type d'emploi : Temps plein, CDI
Salaire : 28 000,00€ à 40 000,00€ /an
Expérience:
ingénieur, chargé de mission en géotechnique ou similaire: 1 an (Souhaité)",0,Il y a plus de 30 jours,an,28000.0,40000.0,34000.0,2020-04-20,1,0,0,0,0,1,0,0,1,0,Annecy ,74.0,1.0
97bcd74cd3968d4d,"[""ingenieur""]",INGENIEUR D'ETUDES ET DEVELOPPEMENT (H/F),Euro Information,3.9,Nancy (54),,"Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé…",0,"Temps plein, CDI","Euro Information, filiale Informatique du groupe de bancassurance Crédit Mutuel, conçoit, réalise, maintient et exploite un système d'information commun utilisé par le Groupe.

Les activités de développement et de production informatique au niveau national et international sont assurées par environ 3500 salariés répartis sur plusieurs sites géographiques au niveau national : Strasbourg, Nancy, Dijon, Orléans, Lyon, Lille, Cergy, Val de Fontenay, Paris et Nantes.

Retrouvez l'ensemble de nos films métiers sur https://www.e-i.com/fr-fr/videos

Mission principale

Le site de développement de Nancy a sous sa responsabilité d'importants domaines applicatifs pour lesquels des projets majeurs sont à mener dans la période à venir, concernant notamment la gestion des crédits ainsi que l'activité immobilière du groupe (vente et location de biens immobiliers).

La mise en oeuvre de ces projets nous amène à renforcer les équipes par des informaticiens d'études et développement expérimentés et débutants.

Activités et tâches spécifiques

Vous aurez pour mission de :
Comprendre les besoins métiers et être force de propositions
Participer à la définition des architectures techniques et fonctionnelles à mettre en place
Animer et participer à tout le cycle de vie de nos projets : Analyse, développement, qualification, déploiement, maintenance, support technique et fonctionnel des applications, pilotage
Mettre en oeuvre la démarche qualité en vigueur dans l'entreprise
Connaissances et compétences

Vous êtes expérimenté, ou débutant avec une première expérience réussie lors de stages.
Connaissances appréciées : C#, .NET, HTML, Grand Système IBM. Vous êtes ouvert pour apprendre et être formé à de nouveaux langages de développement.

Savoir-être - savoir-faire

Vous souhaitez vous investir pleinement dans un périmètre porteur afin d'atteindre rapidement un fort degré d'autonomie et de maîtrise fonctionnelle.
Vous possédez le goût des contacts, une réelle aptitude à communiquer, et appréciez de travailler en équipe.
Vous faites preuve d'initiatives et d'esprit de synthèse.

Autres informations

Le poste basé à Nancy est à pourvoir en CDI dès que possible.

Vous bénéficierez d'avantages « Convention Collective Banque » comme :
13ème mois,
RTT,
Prime d'intéressement et de participation,
Conditions bancaires avantageuses,
Régime de Frais de Santé et de Retraite très attractif,
Et encore plein d'autres avantages à découvrir...
Vous évoluez dans un environnement stimulant basé sur un management de proximité. Un Groupe qui s'engage pour ses salariés par la formation et l'évolution professionnelle.

Vous recherchez un projet innovant Alors Rejoignez la Team EI en postulant!",9,Il y a plus de 30 jours,,,,,2020-04-20,1,0,0,0,0,1,0,0,1,0,Nancy ,54.0,
b2d1803a2ca5eb5d,"[""ingenieur""]",ALTERNANT INGENIEUR DOMAINE ENERGETIQUE OU GENERALISTE H/F,GRTgaz,3.7,Nancy (54),,"Vous êtes désireux de poursuivre vos études en école d'ingénieur dans le domaine de l'énergie ou ingénieur généraliste,.
Formation préparée : niveau de diplôme.",1,"Apprentissage, Contrat pro","Intitulé du poste
ALTERNANT INGENIEUR DOMAINE ENERGETIQUE OU GENERALISTE H/F
Contrat
Contrat d'apprentissage
Durée du contrat
3 ans
Description du poste
Vous serez intégré à l'équipe bilan énergie, garante de la qualité des données relatives aux énergies et contribuerez aux activités suivantes :

Contribuer à animer l'activité bilan énergie Nord Est qui réalisent au quotidien la production des données de comptage.
Participer à la création / mise à jour d'un référentiel documentaire cadrant l'activité, tant du point de vue qualitatif que méthodologique, visant à définir et promouvoir les bonnes pratiques.
Participer à l'analyse de l'Écart de Bilan Technique et mener ou piloter les études permettant d'améliorer sa compréhension.
Contribuer à la définition des plans d'actions permettant d'améliorer la qualité des données de comptage, en s'appuyant sur les référents techniques locaux et nationaux.
Participer à l'analyse et la fiabilisation de la reconstruction du PCS ainsi qu'à la maintenance métier de l'application SIMONE (qui permet de reconstruire le PCS à tous les points de livraison de réseau)
Profil du candidat recherché
VOUS VOUS RECONNAISSEZ ?

vous êtes titulaire d'un bac+2 dans le domaine technique,
vous êtes désireux de poursuivre vos études en école d'ingénieur dans le domaine de l'énergie ou ingénieur généraliste,
vous êtes autonome, débrouillard et pragmatique,
vous avez des qualités rédactionnelles, l'esprit de synthèse et un sens aiguisé de l'organisation,
si vous avez des compétences en programmation Excel, c'est un vrai plus,
vous avez une réelle envie de réussir votre cursus de formation.

Postulez et votre candidature sera étudiée avec attention !

Déplacement / Permis B
Non
Mentions obligatoires
Les règles de déontologie vis-à-vis du Groupe ENGIE sont régies par le code de l'énergie et le code de bonne conduite de GRTgaz.
Cet emploi nécessite la connaissance d'informations commercialement sensibles (ICS).

Comme toute offre déposée sur ce site, celle-ci peut s'inscrire dans le cadre de l'accord triennal pour l'emploi des personnes handicapées signé le 11 juin 2019 par GRTgaz.
Localisation du poste
Localisation du poste
France, Grand-Est, Meurthe et Moselle (54), NANCY - 002500 - 24,5
Lieu
NANCY - 54
Formation
Formation préparée : niveau de diplôme
08 BAC +5 / DESS / Ingénieur
Formation préparée : spécialité
ECOLE INGENIEUR",34,Il y a plus de 30 jours,,,,,2020-04-20,1,0,1,0,0,0,1,0,0,0,Nancy ,54.0,
cfc80e3b7834bc82,"[""ingenieur""]",INGENIEUR MECANIQUE PROCESS F/H,SELFING,0.0,Molsheim (67),,"Dans le cadre d'une mission en tant que consultant(e), nous recherchons deux Ingénieur Mécanique Process H/F, afin d'accompagner notre client, un acteur majeur…",1,CDI,"Dans le cadre d'une mission en tant que consultant(e), nous recherchons deux Ingénieur Mécanique Process H/F, afin d'accompagner notre client, un acteur majeur et international de l'industrie chimique/pharmaceutique.

A ce titre, vos missions seront les suivantes:
Réaliser ou valider les études de conception mécanique de nos systèmes de filtration

Dimensionner les équipements nécessaires au process en fonction du cahier des charges client

A partir du P&ID définir les composants (vannes, pompes, instruments) en fonction des spécifications clients

Créer et/ou mettre à jour les fiches techniques des composants

Participer aux revues techniques avec nos sous-traitants

Participer aux analyses de risques

Apporter du support technique au chef de projet tout au long des phases d’études et de fabrication
Profil recherché Vous avez une expérience de 5 ans minimum réalisée dans le cadre de fonctions similaires.

Vous êtes doté(e) d'un bon relationnel et avez un esprit d'analyse et de synthèse.
Entreprise SELFING est une société d’ingénierie, de conseil en technologie et en systèmes d’information.

Fondée en 2010, SELFING cultive des valeurs de dynamisme, d’humanisme et d’innovation et privilégie une proximité constante avec ses clients et ses consultants.

SELFING se développe en positionnant l’humain au cœur de son organisation : management de proximité, qualité de service et recherche permanente de la performance pour offrir une satisfaction optimale auprès de nos clients et de nos collaborateurs.

SELFING est présent sur les principaux secteurs d’activités, tels que l’Energie & Environnement, la Banque & Assurance, le Digital & Multimédia, la Grande Distribution et Commerce de détail, les Transports et l’Industrie Manufacturière et enfin la Santé & les Sciences de la vie.

Nos consultants participent aux projets de développement et d’innovation de nos clients, tant sur des problématiques techniques que managériales ou organisationnelles, en France et à l’international.

Afin de mener à bien ces nombreux projets, nous sommes amenés à recruter des consultants à fort potentiel, selon trois modes de recrutements : sur projet, sur profil et enfin sur embauche directe.",0,il y a 2 jours,,,,,2020-05-18,1,0,0,0,0,0,0,0,1,0,Molsheim ,67.0,
482a9a58495c18a0,"[""ingenieur""]",Ingénieur d'études - Jeune Docteur en microbiologie alimenta...,SAS C&DAC,0.0,Vandœuvre-lès-Nancy (54),,"Ingénieur d'études - jeune docteur en microbiologie alimentaire ou similaire: 1 an (Souhaité).
C&DAC est une jeune entreprise de recherche et développement…",1,"Temps plein, CDI","Description de l'entreprise
C&DAC est une jeune entreprise de recherche et développement spécialisée dans la mise au point de produits alimentaires sains et durables. C&DAC booste la R&D des entreprises agroalimentaires grâce à :
Des accompagnements sur-mesure de R&D (formulation, scale-up, industrialisation),
Un catalogue de produits prêts à être industrialisés,
Des savoir-faire et procédés d’amélioration des propriétés sensorielles et nutritionnelles des légumineuses.
L’activité de C&DAC se divise en deux :
Une activité de prestation de services R&D auprès des entreprises agroalimentaires (grands groupes, PME et startups),
Une activité de recherche en propre portant sur la valorisation des légumineuses en alimentation humaine et sur la mise au point de produits à base de légumineuses.
Plus d’informations : http://www.cetdac.com
Description du poste
Poste et missions
C&DAC recherche un jeune docteur pour un poste de chargé des travaux de recherche en propre au sein de la société. Les travaux de recherche en propre de C&DAC portent sur la mise au point de produits et procédés alimentaires à base de légumineuses fermentées.
Le candidat sera chargé des travaux de recherche en propre. En forte collaboration avec la direction de l'entreprise, il sera principalement responsable de :
La gestion des projets de recherche en propre (développement/optimisation de procédés de fermentation de légumineuses et mise au point/optimisation de produits à base de légumineuses fermentées),
L'organisation, la planification et la réalisation des essais laboratoires et pilotes, des analyses bio-physico-chimiques, microbiologiques et sensorielles liées aux essais.
Il sera également amené à intervenir sur les projets de R&D menés en prestation pour des clients (mise au point de produits alimentaires sains et durables).
Prise de fonction : 15/07/2020
Profil recherché
Le candidat idéal sera un jeune docteur ayant un background significatif en microbiologie alimentaire et sciences des aliments, avec des connaissances solides en métabolisme/enzymologie, procédés fermentaires, physico-chimie des aliments, analyses chimiques, formulation alimentaire, analyses de données et gestion de projets.
Le candidat devra également être autonome, rigoureux, dynamique, inventif, proactif, polyvalent et avoir de bonnes capacités de communication en français et en anglais. Un attrait particulier pour les protéines végétales et l'alimentation durable est important.
Type d'emploi : Temps plein, CDI
Expérience:
ingénieur d'études - jeune docteur en microbiologie alimentaire ou similaire: 1 an (Souhaité)
Formation:
Bac +8 (Doctorat) (Souhaité)",0,il y a 7 jours,,,,,2020-05-13,1,0,0,0,0,1,0,0,1,0,Vandœuvre-lès-Nancy ,54.0,
bec4d64b25de8062,"[""ingenieur""]",INGENIEUR METHODES INDUSTRIALISATION (H/F),Progress Consulting,0.0,Valenciennes (59),40 000 € - 55 000 € par an,"Organiser l’intégration des moyens et piloter la réception de mise en production avec l’usine.
Etudier et valider les conceptions d’outillages et d’équipements…",1,,"Description du job :
– Organiser l’intégration des moyens et piloter la réception de mise en production avec l’usine.
– Etudier et valider les conceptions d’outillages et d’équipements périphériques.
– Proposer des améliorations de productivité.
Vous êtes :
– Motivé par le travail d’équipe, intéressé par les projets techniques de haut niveau, et les défis industriels
– Ingénieur généraliste, industriel, mini 3 ans d’expériences dans cet environnement
Rémunération : 40 à 55k€ selon profil et expériences
Dans un même secteur d’activité, d’un groupe à l’autre, d’une usine à l’autre, les compétences des personnes ne sont pas utilisées et mises en œuvres de la même manière. A partir de votre CV et des échanges que nous aurons, nous pourrons établir l’adéquation avec un poste disponible. Dans l’attente de vous rencontrer",0,il y a 9 jours,an,40000.0,55000.0,47500.0,2020-05-11,1,0,0,0,0,0,0,0,0,0,Valenciennes ,59.0,1.0
