_id,query,title,company,rating_mean,location,salary,summary,sponso,contract,desc,rating_count,day_since,salary_origin_mode,salary_min,salary_max,salary_mean,date,query_ressources+humaines,contract_cdd,contract_contrat pro,contract_indépendant,contract_temps partiel,contract_temps plein,contract_apprentissage,contract_stage,contract_cdi,contract_intérim,location_dirty,dep,salary_band
0e713ae5bb0dabcc,"[""ressources+humaines""]",Responsable Ressources Humaines H/F,CONFIDENTIEL Société de prestations de services,0.0,Saint-Raphaël (83),,"La gestion des recrutements (détermination des profils, rédaction des annonces, suivi des candidatures, sourcing, …).
La validation des éléments de paie.",0,"Temps plein, CDI","Société de prestations de services dynamique, à dimension humaine et à l’activité porteuse, recherche pour son Siège social situé à Saint Raphaël, son / sa responsable Ressources Humaines.
Le poste est entièrement à recréer et à développer.
Rattaché(e) à la Direction Générale, vous avez en charge la gestion des ressources humaines pour l’ensemble des sites (environ 100 collaborateurs).
Vous êtes impliqué(e) dans la mise en œuvre de la stratégie de la politique ressources humaines de l’entreprise.
Vous êtes motivé(e), impliqué(e), vous savez faire preuve de créativité et êtes force de propositions.
vos principales missions sont :
La gestion des contrats de travail (établissement des contrats, des avenants, exécution…)
La tenue des dossiers individuels du personnel
La réalisation des déclarations sociales et fiscales inhérentes aux contrats de travail (DNS, PAS…)
La gestion des recrutements (détermination des profils, rédaction des annonces, suivi des candidatures, sourcing, …)
Le suivi des formations plans et gestion des fonds de formation
La validation des éléments de paie
En veillant à la bonne application du droit du travail, en assurant une veille juridique constante
Formation / Expérience
Vous êtes diplômé(e) en Ressources Humaines
Doté(e) d’une expérience significative de 5 ans minimum dans un poste similaire
Compétences :
Gestion et exécution de la rémunération
Rigoureux/se , Organisé/e ,
Qualités d'écoute et relationnelles,
Capacité d'analyse et synthèse,
Esprit d'équipe
Des compétences en droit du travail sont indispensables
Rémunération attrayante à définir selon profil
Début de contrat : ASAP
Vous bénéficierez de l’appui total de la Direction et des formations nécessaires pour la prise en mains du poste
Type d'emploi : Temps plein, CDI
Expérience:
responsable ressources humaines h/f ou similaire: 5 ans (Souhaité)
Télétravail:
Non",0,il y a 13 jours,,,,,2020-05-07,1,0,0,0,0,1,0,0,1,0,Saint-Raphaël ,83.0,
edbbc0c8ea91c56a,"[""ressources+humaines""]",Assistant Ressources Humaines H/F,Piscines WATERAIR,3.5,Haut-Rhin,,"Le Groupe WATERAIR, leader européen de la piscine en kit, est une ETI familiale.
Fabricant de piscines depuis 47 ans, le Groupe compte aujourd’hui 320…",0,"Temps plein, CDI","Le Groupe WATERAIR, leader européen de la piscine en kit, est une ETI familiale. Fabricant de piscines depuis 47 ans, le Groupe compte aujourd’hui 320 salariés et réalise un chiffre d’affaires de 58 M€. Présent dans plus de 30 pays à l’international, il dispose de 3 filiales (en Espagne, en Italie et en Allemagne).
Dans le cadre d’un départ, nous recherchons unAssistant Ressources Humaines (h/f)
Rattaché à la Responsable Paie et Administration du Personnel, vous avez en charge la gestion administrative du personnel dans sa globalité.
A ce titre, vos principales missions sont les suivantes :
= > La préparation des contrats et l’établissement des documents d’entrée,
= > Le suivi et la mise à jour des dossiers individuels des salariés,
= > L’organisation et le suivi des visites médicales du personnel,
= > La gestion des temps et des absences (congés, RTT, modulation, …),
= > La gestion administrative de l’intérim,
= > L’élaboration, l’analyse et le suivi des tableaux de bord et indicateurs RH,
= > La participation aux projets de transformation digitale de l’administration du personnel,
De formation bac + 3 à bac + 5 en Ressources Humaines, vous justifiez idéalement d’une expérience réussie de 2 ans sur une fonction similaire.
Autonome et rigoureux, vous faites preuve de confidentialité dans la gestion des dossiers qui vous sont confiés.
Votre organisation et votre adaptabilité sont des atouts indispensables pour réussir dans votre fonction tout comme votre capacité à communiquer, tant à l’oral qu’à l’écrit.
Votre curiosité, votre ouverture d’esprit et votre appétence pour les nouvelles technologies vous permettront d’être un élément majeur dans les projets structurants du service.
Vous maîtrisez le pack Office, notamment Word et Excel.
La connaissance d’un logiciel de paie serait un atout supplémentaire.
CDI - Salaire fixe + Variable + Intéressement et Participation
Localisation : Siège - Seppois-le-Bas
Contrat à temps plein.
Type d'emploi : Temps plein, CDI
Expérience:
assistant ressources humaines h/f ou similaire: 2 ans (Souhaité)
Télétravail:
Temporairement en raison du COVID-19",20,Aujourd'hui,,,,,2020-05-20,1,0,0,0,0,1,0,0,1,0,Haut-Rhin,,
3ebbc54e5c119e95,"[""ressources+humaines""]",Assistant Ressources Humaines (H/F),Groupe FrameIP,0.0,Rouen (76),,"Le Groupe FrameIP c’est :
4 Sociétés de service réunies au sein d’un même open space.
Des compétences multiples : Réseaux, Système et Services Télécom.",0,,"Société
Le Groupe FrameIP c’est :
· 4 Sociétés de service réunies au sein d’un même open space
· Des compétences multiples : Réseaux, Système et Services Télécom
· Une cible cliente BToB : PME, ETI, Grands comptes et Collectivités
· Des offres techniques sur mesure élaborées par des experts
· L'humain au cœur de l'entreprise
· Un affûteur de talents
· Une ambiance jeune et dynamique
Missions
Dans le cadre d’un CDD pour un remplacement de congé maternité, vos missions seront les suivantes :
· Effectuer les déclarations préalables à l’embauche
· Gérer les affiliations, portabilités et radiations des salariés à la mutuelle et prévoyance
· Assurer le suivi des visites médicales
· Gérer les absences (Congés, arrêts maladie...)
· Contrôler les notes de frais
· Organiser les formations des salariés et réaliser les demandes de financement
· Gérer les conventions de stage
· Mettre à jour les offres d’emplois sur les différents sites
· Prendre les rendez-vous avec les candidats
· Effectuer les réponses négatives aux candidats non retenus et assurer un suivi dans un tableau de bord
Profil
Débutant(e) accepté(e), de formation BAC+2 minimum.
Vous possédez de réelles qualités relationnelles, de plus, vous faites preuves de rigueur, d’organisation et d’autonomie dans les tâches qui vous seront confiées.
Type d'emploi : Temps plein
Expérience:
assistant ressources humaines h/f ou similaire: 1 an (Souhaité)",0,il y a 13 jours,,,,,2020-05-07,1,0,0,0,0,0,0,0,0,0,Rouen ,76.0,
2ec16307b8643a03,"[""ressources+humaines""]",APPRENTI(E) ASSISTANT(E) RESSOURCES HUMAINES H/F,Groupement Les Mousquetaires,3.0,La Guerche-de-Bretagne (35),,"Créé en 1969, le Groupement Les Mousquetaires s'appuie sur un modèle économique original, le commerce associé, et constitue l'un des principaux acteurs de la…",0,,"Créé en 1969, le Groupement Les Mousquetaires s'appuie sur un modèle économique original, le commerce associé, et constitue l'un des principaux acteurs de la grande distribution en Europe dans quatre métiers : l’alimentaire (Intermarché et Netto), l’équipement de la maison (Bricomarché et Brico Cash), l’entretien et la réparation automobile (Roady) et la restauration (Poivre Rouge).
Fort de 62 Unités de Production (UP) et 11 000 collaborateurs, Agromousquetaires permet aux enseignes du Groupement de proposer des produits alternatifs aux grandes marques nationales. Le pôle, réparti en 10 filières opérationnelles, est responsable de la production et la livraison des produits à destination principale des magasins du Groupement. En tant que Producteur Responsable Agromousquetaires a pour ambition d’être un acteur référent du mieux produire et du mieux manger.

Nous recherchons notre Assistant(e) RH en Apprentissage.

Rattaché(e) au Responsable du service Ressources humaines, vous aurez pour principales missions :
La gestion du temps (salariés et intérimaires)
La gestion administrative du personnel (saisie des absences, attestations, changements contractuels…)
La gestion des contrats étudiants (DPAE, contrats, recrutement, besoins …)
La gestion de la page Facebook
La gestion des motifs intérimaires et du suivi intérimaire
Le suivi des enregistrements des entretiens professionnels
Le suivi de formations
La participation aux forums
La gestion des conventions de stage

Profil candidat
Niveau d'étude min.
Requis :
Bac + 2
Formation / Diplôme :
3 - BTS/DUT
Expérience Requise :
inf. à 6 mois
Compétences :
Rigoureux/se , Organisé/e , Excel , Capacité d'analyse et synthese , Esprit d'équipe
Futur(e) étudiant(e) en Licence RH, vous êtes une personne autonome, rigoureuse, impliquée, avec un bon sens de l’analyse, capable de s’adapter et de s’intégrer dans une équipe.
Vous savez gérer différentes problématiques dans le même temps, et faites preuve d’initiative et d’anticipation pour gérer les projets à venir.",56,il y a 7 jours,,,,,2020-05-13,1,0,0,0,0,0,0,0,0,0,La Guerche-de-Bretagne ,35.0,
6d7a9fc9b5ed39ea,"[""ressources+humaines""]",Responsable Ressources Humaines H/F,ARFIS OI - IRTS,0.0,Saint-Benoît (RE),,"L’ARFIS OI (Association de Recherche et de Formation en Intervention Sociale – Océan Indien) gère dans l’océan indien :
L’IRTS de La Réunion.",1,"Temps plein, CDI","Description de l'entreprise
L’ARFIS OI (Association de Recherche et de Formation en Intervention Sociale – Océan Indien) gère dans l’océan indien :
- L’IRTS de La Réunion
- L’antenne de l’IRTS La Réunion à Mayotte
- Le CREAI Océan Indien
En tant qu’acteur majeur de la formation professionnelle, partenaire privilégié des milieux de pratique professionnelle, nous avons développé de nombreux partenariats tant au niveau régional, que national et international.
Vous souhaitez vivre un nouveau challenge et donner une nouvelle dimension à votre carrière, venez participer à notre projet stratégique !
Description du poste
L’ARFIS OI / IRTS
Recrute un.e Responsable des Ressources Humaines
Poste en CDI à plein temps – Salaire Convention Collective 1966
Prise de poste dès que possible
Rattaché au Directeur des moyens, votre mission consistera à animer l’ensemble de la fonction ressources humaines :
· Repérer et analyser les facteurs d’évolution liés à la réglementation, au secteur d’activité, au segment de marché, à la technologie… qui peuvent avoir un impact sur les ressources humaines et les compétences, tant sur un plan quantitatif que qualitatif.
· Proposer et animer la stratégie de gestion des ressources humaines de l’ARFIS OI au regard de son projet et des facteurs d’évolution (qualitatif et quantitatif).
· Mettre en œuvre la gestion des compétences (gestion des effectifs, dispositifs d’évaluation, plan de développement individuel et collectif, certification de compétences de collaborateurs, plan de formation…) permettant d’accompagner le projet de l’ARFIS OI.
· Suivre et organiser les mouvements du personnel (recrutements, licenciements, départs, dossier disciplinaire…) dans le respect des règles juridiques et sociales
· Piloter et mettre en œuvre le système de contribution / rétribution.
· Accompagner les mobilités professionnelles en s’appuyant sur le référentiel activités et compétences des métiers de la formation.
· Définir, garantir et mettre en œuvre l’application de la réglementation sociale et des obligations légales.
· Co-animer le dialogue social et garantir l’application, le suivi et la communication des accords conclus.
· Mettre en œuvre une démarche santé et qualité de vie au travail en mobilisant les différents acteurs de l’entreprise.
Le poste comporte à la fois une dimension stratégique quant à la participation à la définition de la politique RH de l’ARFIS OI, et une dimension opérationnelle dans le cadre de la gestion administrative RH au quotidien, le conseil et l’assistance aux opérationnels.
Profil attendu :
· De formation supérieure (BAC+5) en ressources humaines ou droit social ;
· vous justifiez d’une solide expérience dans une fonction en support RH ou RRH ;
· vous maîtrisez les fondamentaux de la fonction (relations sociales, droit du travail, GRH et administration du personnel)
· vous avez une approche opérationnelle de la fonction et une bonne connaissance du secteur d’activité de la formation, de ses métiers ;
· vous avez des qualités relationnelles alliées à une grande rigueur ;
· vous avez une parfaite maîtrise de la communication orale et écrite afin de nouer des relations de qualité avec les interlocuteurs internes et externes ;
· vous faites preuve de souplesse et de fermeté dans le cadre des relations avec les opérationnels ;
· vous êtes force de conviction pour faire passer les idées et les projets, et avez une capacité certaine de négociation ;
· vous avez le sens de l’organisation pour mener à bien les projets et contrôler leur réalisation ;
· vous avez une capacité à mener plusieurs projets de front, de façon individuelle et/ou collective ;
· vous avez une appétence marquée pour les projets comportant une forte dimension digitale ;
Condition d’emploi :
- salaire en application de la CCN 1966
- statut cadre
- Permis B et véhicule requis
- Prise de fonction : dès que possible
- Type de contrat : CDI
- Lieu de travail : Saint-Benoit
Industrie : Enseignement et formation
Avantages :
RTT
Statut : Cadre
Type d'emploi : Temps plein, CDI
Salaire : 0,00€ /mois
Expérience:
responsable ressources humaines h/f ou similaire: 5 ans (Requis)
Formation:
Bac +5 (Master / MBA) (Requis)",0,Aujourd'hui,,,,,2020-05-20,1,0,0,0,0,1,0,0,1,0,Saint-Benoît (RE),,
94e39dc4c8937102,"[""ressources+humaines""]",ASSISTANT(E) RESSOURCES HUMAINES,LABORATOIRES LEHNING,3.5,Sainte-Barbe (57),,"Horaires variables du lundi ou vendredi.
Vous souhaitez intégrer un groupe pharmaceutique dynamique et en pleine croissance ?
Restaurant d’entreprise sur site.",1,"Temps plein, Temps partiel, CDD","Vous souhaitez intégrer un groupe pharmaceutique dynamique et en pleine croissance ? Le groupe LEHNING, acteur de la santé, 330 personnes, implanté sur plusieurs sites en France, Brésil et présent sur plusieurs continents, engagé pour des solutions de santé au naturel et une médecine respectueuse du corps et de l’environnement, recherche pour son site proche de Metz dans le cadre d’un remplacement de congé maternité (CDD) :
Un(e) Assistant(e) Ressources Humaines
Au sein du Département des Ressources Humaines et directement rattaché(e) à notre Directeur Général, vous serez en charge de la gestion administrative du personnel ainsi que du suivi des outils et projets RH.
Vos missions :
Suivi des contrats et des missions intérimaires
Gestion des dossiers d’entrées et de sorties de collaborateurs (DPAE, documents à l’embauche et sortie…)
Suivi des visites médicales
Préparation et saisie des éléments liés à la gestion des paies
Gestion administrative et logistique de la formation
Préparation et suivi des entretiens professionnels et des entretiens annuels
Suivi des stagiaires écoles
Participation aux dossiers de recrutement
Participation à la préparation des réunions CSE, CSSCT
Participation à la mise en place et au suivi des dossiers liés aux obligations légales et aux projets RH
Réponses aux questions des collaborateurs et des managers
Relations avec les organismes sociaux extérieurs
Profil recherché :
De formation bac+3/5 (Licence ou Master) en Ressources Humaines, vous possédez une aisance rédactionnelle et relationnelle.
Vous maîtrisez les outils bureautiques : Word, Excel, Powerpoint.
La connaissance du logiciel CEGID Business RH serait un atout.
Une expérience d'au moins 1 an sur un poste similaire est souhaitée.
Nos atouts :
Une fabrication 100% française
Un environnement de travail agréable et naturel
Horaires variables du lundi ou vendredi
Restaurant d’entreprise sur site
Comité d’entreprise
Avantages :
RTT
Type d'emploi : Temps plein, Temps partiel, CDD
Expérience:
assistant(e) ressources humaines ou similaire: 1 an (Souhaité)
Télétravail:
Non",2,il y a 5 jours,,,,,2020-05-15,1,1,0,0,1,1,0,0,0,0,Sainte-Barbe ,57.0,
622d77d46a223956,"[""ressources+humaines""]",Assistant Ressources Humaines-(H/F),Société Générale,3.9,La Défense (92),,"Vous êtes passionné(e) par les Ressources Humaines ?
Vous avez envie d’intégrer une équipe RH dynamique, dédiée à la Banque Privée ?
Et si c’était vous ?",1,,"Vos missions au quotidien
Vous êtes passionné(e) par les Ressources Humaines ? Vous avez envie d’intégrer une équipe RH dynamique, dédiée à la Banque Privée ?
En tant qu’alternant(e) Assistant(e) ressources humaines, vous participerez à la gestion du développement des collaborateurs en France dans des enjeux d'employeur responsable.
Concrètement, vous serez amené(e), sous la supervision de votre tuteur et/ou votre manager, à :
Assister, informer et conseiller les acteurs RH sur la gestion de leurs dossiers
Assurer le traitement administratif des opérations initiées par les pôles
Rédiger les conventions de temps partiel ou de forfait jours réduit ou de télétravail,
Gérer les absences : accidents de travail (déclarations, relations avec la CPAM, enregistrements dans le SIRH, attestations de salaire), maternité, congés sabbatiques, congés création d'entreprise...
Participer aux actions d’améliorations continues transverses aux équipes RH.
Et si c’était vous ?
Vous allez préparer un Bac+3 ou Bac+4 en alternance avec une spécialité en Ressources Humaines.
Vous maîtrisez le Pack Office.
Vos connaissances des outils Néocase et People Soft sont un plus.
You’re fluent in english ? Vous êtes le candidat idéal !


Pensez à accompagner votre cv de votre planning de formation !




Plus qu’un poste, un tremplin
Dès votre arrivée, vous serez intégré(e) dans nos équipes et apprendrez chaque jour aux côtés de nos experts qui vous accompagneront dans vos missions. Progressivement, vous gagnerez en autonomie sur vos projets pour faire de cette expérience un vrai accélérateur de carrière. Vous découvrirez également toute la diversité de nos métiers, dans un secteur qui évolue et innove en permanence.
A la fin de vos études, diverses opportunités pourront s’offrir à vous, en France et à l’international.

Pourquoi nous choisir ?
Chez Société Générale, nous sommes convaincus que les personnes sont moteurs du changement, et que le monde de demain sera fait de toutes leurs initiatives, des plus petites aux plus ambitieuses.

Que vous nous rejoigniez pour quelques mois, quelques années ou toute votre carrière, ensemble nous avons les moyens d’avoir un impact positif sur l’avenir. Créer, oser, innover, entreprendre font partie de notre ADN.

Si vous aussi vous souhaitez être dans l’action, évoluer dans un environnement stimulant et bienveillant, vous sentir utile au quotidien et développer ou renforcer votre expertise, nous sommes faits pour nous rencontrer !

Vous hésitez encore ?
Sachez que nos collaborateurs peuvent s’engager quelques jours par an pour des actions de solidarité sur leur temps de travail : parrainer des personnes en difficulté dans leur orientation ou leur insertion professionnelle, participer à l’éducation financière de jeunes en apprentissage ou encore partager leurs compétences avec une association. Les formats d’engagement sont multiples
Nous sommes un employeur garantissant l'égalité des chances et nous sommes fiers de faire de la diversité une force pour notre entreprise.
Le groupe s’engage à reconnaître et à promouvoir tous les talents, quels que soient leurs croyances, âge, handicap, parentalité, origine ethnique, nationalité, identité sexuelle ou de genre, orientation sexuelle, appartenance à une organisation politique, religieuse, syndicale ou à une minorité, ou toute autre caractéristique qui pourrait faire l’objet d’une discrimination.
Référence: 20000AD9
Entité: Fonctions centrales groupes
Date de début: 01/09/2020
Date de publication: 20/05/2020",2565,Aujourd'hui,,,,,2020-05-20,1,0,0,0,0,0,0,0,0,0,La Défense ,92.0,
667b6e97226a1c79,"[""ressources+humaines""]",CDI – Assistant Ressources Humaines H/F,seqens,3.7,Laneuveville-devant-Nancy (54),,"La division spécialités minérales, recherche un(e) assistant(e) RH, sur son site de Laneuveville-devant-Nancy.",1,CDI,"La division spécialités minérales, recherche un(e) assistant(e) RH, sur son site de Laneuveville-devant-Nancy.
Rattaché au Responsable Ressources Humaines, vous intégrez une équipe de 5 personnes. Vous aurez en charge la gestion administrative du personnel et contribuerez activement à l’activité du Service RH.
Vos principales missions s’articuleront autour de la gestion administrative du personnel et la gestion des intérimaires du site. Vous interviendrez également sur les relations sociales (organisation des réunions de CSE, élections…) et le reporting RH.
Pour plus d’informations sur les missions et le profil recherché, téléchargez l’offre ci-dessous.",6,Il y a plus de 30 jours,,,,,2020-04-20,1,0,0,0,0,0,0,0,1,0,Laneuveville-devant-Nancy ,54.0,
468e969f7a04ebb0,"[""ressources+humaines""]",Assistant Ressources Humaines H/F,CMI KLEIN,0.0,Nouméa (NC),,"Gestion du recrutement : rédaction/mises à jour fiches de postes rédaction et diffusion annonces externe et interne, mise à jour base de données, traitement,…",1,"Temps plein, CDI","· La technique vous passionne,
· Vous aimez les challenges,
· Vous appréciez d’évoluer en équipe,
· Les responsabilités ne vous donnent pas le vertige,
· Vous êtes prêts à conquérir des sommets,
· Vous cherchez un groupe entreprenant à taille humaine …
… Alors, Bienvenue chez John Cockerill !
*** Poste ouvert uniquement aux résidents calédoniens. ***
Dans le cadre d’un remplacement, John Cockerill Nouvelle-Calédonie recrute un Assistant Ressources Humaines (H/F).
Poste en CDI à temps plein, basé à DUCOS, à compter du 08/06/2020.
Sous la direction du Responsable Ressources Humaines et en collaboration avec une assistante RH en charge notamment de la paie et l’administration du personnel, l’assistant RH assure la gestion du volet développement RH pour deux sociétés.
A ce titre, vos principales missions sont les suivantes :
- Gestion du recrutement : rédaction/mises à jour fiches de postes rédaction et diffusion annonces externe et interne, mise à jour base de données, traitement, qualification et présentation des CV;
- Participer à la mise en place de l’intégration des nouveaux embauchés et en assurer le suivi ;
- Recensement et analyse des besoins en formation, définition du plan prévisionnel, validation du plan définitif, organisation des sessions de formation, rédaction des bilans, suivi administratif et établissement de déclarations annuelles;
- Déclinaison opérationnelle de projets RH;
- Participer à la mise en œuvre du pouvoir disciplinaire de l’employeur;
- Appui au traitement administratif des dossiers des salariés;
Cette liste n'est pas limitative et pourra évoluer selon les besoins du service RH.
Profil :
- De formation DUT GRH ou licence Pro RH avec expérience significative de 3 à 5 ans dans un poste similaire ou de formation Master 2 avec expérience significative d’1 à 2 ans sur un poste similaire;
- Sens accru du service client et diplomatie;
- Grande discrétion;
- Capacités d’analyse et de synthèse;
- Force de proposition;
- Capacité d’adaptation et organisation;
- Doté de qualités rédactionnelles et relationnelles;
- Esprit d’équipe et sens des responsabilités;
- Maîtrise exigée de l’outil bureautique (Word, Excel et Powerpoint) et des outils usuels de communication;
- La connaissance du système qualité Iso 9001 sera un atout;
- Permis B et véhicule exigé.
Dans la cadre de sa politique diversité, John Cockerill Nouvelle-Calédonie étudie à compétences égales, toute candidature de personnes en situation de handicap.
Type d'emploi : Temps plein, CDI
Lieu:
Nouméa (NC) (Requis)",0,Aujourd'hui,,,,,2020-05-20,1,0,0,0,0,1,0,0,1,0,Nouméa (NC),,
0a5c88715f5e4c87,"[""ressources+humaines""]",Chargé(e) des ressources humaines-Ressources Humaines Opérat...,SFR,3.6,Réunion (RE),,"Vous intégrez l'équipe RH et vous assurez la gestion opérationnelle RH des collaborateurs de SFR Réunion/Mayotte, qui vous seront confiées afin d'en assurer le…",1,,"Vous intégrez l'équipe RH et vous assurez la gestion opérationnelle RH des collaborateurs de SFR Réunion/Mayotte, qui vous seront confiées afin d'en assurer le suivi et d'en favoriser le développement, en lien avec la RH de la Réunion et de Métropole Vous avez pour missions principales de : - Assurer un suivi des collaborateurs dans le cadre de la gestion contractuelle et dans le cadre de leur évolution professionnelle. - Réaliser les recrutements prévus sur votre périmètre opérationnel - Garantir l'application de la législation, des accords et règles de gestion en vigueur. - Assurer le suivi des effectifs dans le cadre qui a été fixé. - Contribuer à la déclinaison de la politique RH groupe et accompagner les temps forts RH auprès des opérationnels de votre périmètre : recueil et consolidation des besoins en formation, accompagnement du Temps, accompagnement de la campagne d'appréciation annuelle, Comités de salaires...etc. - Accompagner le management dans l'appropriation des pratiques RH.
Profil
Une première expérience idéalement dans le domaine des Ressources Humaines opérationnelles est indispensable. Vous êtes autonome et organisé(e), vous disposez également de bonnes qualités relationnelles. Vous faites preuve d'anticipation, de réactivité, d'une belle écoute et vous êtes curieux (se) du business et des organisations. Bac +4 en ressources humaines/Droit social",686,il y a 12 jours,,,,,2020-05-08,1,0,0,0,0,0,0,0,0,0,Réunion (RE),,
