salary_min,salary_max,salary_mean,rating_mean,rating_count,contract_contrat pro,contract_intérim,contract_temps plein,contract_indépendant,contract_cdd,contract_temps partiel,contract_cdi,contract_stage,contract_commission,contract_apprentissage,mode_an,mode_heure,mode_jour,mode_mois,mode_semaine,query_data+scientist,query_business+intelligence,query_data+analyst,query_developpeur
29232.0,33852.0,31542.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
34000.0,34000.0,34000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
38000.0,38000.0,38000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
35000.0,45000.0,40000.0,4.5,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
35000.0,48000.0,41500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
35000.0,45000.0,40000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
35000.0,35000.0,35000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
103200.0,103200.0,103200.0,4.3,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
24000.0,30000.0,27000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
21960.0,37440.0,29700.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
38000.0,38000.0,38000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
33000.0,36000.0,34500.0,3.9,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,36000.0,33000.0,4.1,13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,35000.0,32500.0,4.1,13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
25980.0,34800.0,30390.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
30000.0,40000.0,35000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
10800.0,10800.0,10800.0,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
30000.0,40000.0,35000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,38000.0,36500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
25000.0,35000.0,30000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,40000.0,35000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
32000.0,42000.0,37000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
103200.0,103200.0,103200.0,4.3,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
32000.0,37000.0,34500.0,4.1,13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
21600.0,21600.0,21600.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
9600.0,18600.0,14100.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30942.0,45690.0,38316.0,3.0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
45000.0,55000.0,50000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
35000.0,37000.0,36000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
7200.0,7200.0,7200.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
40000.0,50000.0,45000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
35000.0,45000.0,40000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
38000.0,50000.0,44000.0,4.7,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
36000.0,42000.0,39000.0,3.6,854,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
28000.0,38000.0,33000.0,4.2,30,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
32000.0,42000.0,37000.0,4.2,30,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
32000.0,40000.0,36000.0,4.2,30,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
36000.0,45000.0,40500.0,3.6,854,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
35000.0,45000.0,40000.0,4.2,30,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
28000.0,35000.0,31500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
32000.0,40000.0,36000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
18000.0,24000.0,21000.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35000.0,50000.0,42500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,42000.0,38500.0,3.8,21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,55000.0,45000.0,3.8,24,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,45000.0,40000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
60000.0,120000.0,90000.0,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
32000.0,45000.0,38500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
96000.0,120000.0,108000.0,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
30000.0,36000.0,33000.0,3.9,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
34000.0,42000.0,38000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,42000.0,38500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,40000.0,35000.0,3.9,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,42000.0,38500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,35000.0,32500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
25000.0,30000.0,27500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,45000.0,37500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
