salary_min,salary_max,salary_mean,rating_mean,rating_count,contract_contrat pro,contract_intérim,contract_temps plein,contract_indépendant,contract_cdd,contract_temps partiel,contract_cdi,contract_stage,contract_commission,contract_apprentissage,query_data+scientist,query_business+intelligence,query_data+analyst,query_developpeur,mode_an
,,,3.8,440,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
,,,3.0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
29232.0,33852.0,31542.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
,,,3.6,19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,4.4,5,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
,,,3.7,2049,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1
,,,3.2,509,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,3.8,13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,4.0,2927,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,4.4,5,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,3.9,614,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1
34000.0,34000.0,34000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,,3.4,9,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,2.5,11,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
,,,4.3,15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,2.8,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
,,,3.1,62,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
,,,3.0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
,,,3.2,6305,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
,,,3.6,19,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
,,,3.4,32,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,4.7,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
38000.0,38000.0,38000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
,,,3.4,103,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,,4.0,1884,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,3.8,19,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
,,,4.0,6530,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
,,,3.6,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,3.6,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,3.2,509,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,4.1,2615,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,3.2,509,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,4.0,6530,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
,,,2.8,166,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,3.0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,3.8,19,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
