salary_min,salary_max,salary_mean,rating_mean,rating_count,contract_contrat pro,contract_intérim,contract_temps plein,contract_indépendant,contract_cdd,contract_temps partiel,contract_cdi,contract_stage,contract_commission,contract_apprentissage,query_data+scientist,query_business+intelligence,query_data+analyst,query_developpeur,mode_an
,,,3.3,469,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1
,,,3.9,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,4.0,505,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,3.3,469,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
,,,4.0,20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
,,,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
,,,3.4,28,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
,,,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,3.7,99,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,4.5,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,4.0,20,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
,,,3.1,142,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
,,,4.1,193,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
,,,4.0,19638,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,4.0,80,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
,,,4.0,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,4.0,6530,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
45000.0,60000.0,52500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,3.6,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,4.0,508,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
,,,3.9,9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
,,,3.5,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,5.0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,3.1,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
,,,3.9,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,3.9,9,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
,,,4.0,20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
,,,4.0,508,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
