salary_min,salary_max,salary_mean,rating_mean,rating_count,contract_contrat pro,contract_intérim,contract_temps plein,contract_indépendant,contract_cdd,contract_temps partiel,contract_cdi,contract_stage,contract_commission,contract_apprentissage,mode_an,mode_heure,mode_jour,mode_mois,mode_semaine,query_data+scientist,query_business+intelligence,query_data+analyst,query_developpeur
36408.0,44508.0,40458.0,3.0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
55000.0,65000.0,60000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
40000.0,70000.0,55000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
42000.0,42000.0,42000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
40000.0,60000.0,50000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
156000.0,168000.0,162000.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
18000.0,20400.0,19200.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
40000.0,50000.0,45000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
45000.0,65000.0,55000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
42000.0,42000.0,42000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
46000.0,50000.0,48000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
65000.0,65000.0,65000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
70000.0,70000.0,70000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
55000.0,65000.0,60000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
575.0,575.0,575.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
35000.0,50000.0,42500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1
40000.0,60000.0,50000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
50000.0,55000.0,52500.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
40000.0,60000.0,50000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
60000.0,100000.0,80000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
40000.0,55000.0,47500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0
38688.0,38688.0,38688.0,0.0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
70000.0,70000.0,70000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
35000.0,50000.0,42500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0
45000.0,70000.0,57500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
40000.0,60000.0,50000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
96000.0,96000.0,96000.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
50000.0,70000.0,60000.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
40000.0,55000.0,47500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
12000.0,14400.0,13200.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
40000.0,50000.0,45000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
40000.0,50000.0,45000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
55000.0,55000.0,55000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
50000.0,70000.0,60000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
42000.0,42000.0,42000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
70000.0,90000.0,80000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
42000.0,48000.0,45000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
65000.0,85000.0,75000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
36000.0,50000.0,43000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
108000.0,108000.0,108000.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
65000.0,75000.0,70000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
45000.0,55000.0,50000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
45000.0,70000.0,57500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
26520.0,30000.0,28260.0,3.9,399,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
45000.0,55000.0,50000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
40000.0,50000.0,45000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
60000.0,70000.0,65000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
120000.0,140000.0,130000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
35000.0,40000.0,37500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0
50000.0,55000.0,52500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
45000.0,60000.0,52500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
75000.0,100000.0,87500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
90000.0,120000.0,105000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
75000.0,75000.0,75000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
58000.0,70000.0,64000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
40000.0,45000.0,42500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
50000.0,65000.0,57500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
