salary_min,salary_max,salary_mean,rating_mean,rating_count,contract_contrat pro,contract_intérim,contract_temps plein,contract_indépendant,contract_cdd,contract_temps partiel,contract_cdi,contract_stage,contract_commission,contract_apprentissage,query_data+scientist,query_business+intelligence,query_data+analyst,query_developpeur,mode_an
,,,3.7,121,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
,,,3.0,56,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
36408.0,44508.0,40458.0,3.0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
,,,3.9,2266,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
,,,4.0,425,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
55000.0,65000.0,60000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,3.6,21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,3.4,702,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
,,,5.0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
,,,3.0,56,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
,,,3.9,1746,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,3.6,686,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
,,,3.8,640,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
,,,5.0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
,,,5.0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,4.5,15,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
40000.0,70000.0,55000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,3.9,2266,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
,,,3.1,15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,4.5,15,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
,,,3.8,717,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
,,,4.0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
42000.0,42000.0,42000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
40000.0,60000.0,50000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
156000.0,168000.0,162000.0,0.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,4.1,153,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
,,,0.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
,,,3.7,1926,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,4.1,3678,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
,,,4.0,4233,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
18000.0,20400.0,19200.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
,,,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
,,,3.8,194,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
,,,3.4,231,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
,,,3.0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,4.1,4058,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
,,,4.1,153,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,3.4,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,3.9,2266,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
,,,5.0,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
,,,3.5,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,4.0,52,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
,,,4.0,9517,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
,,,3.9,1746,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,4.0,1528,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,3.6,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,4.0,1528,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
,,,3.6,686,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
,,,3.5,67,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,3.5,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,4.2,15,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
40000.0,50000.0,45000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,4.0,4233,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,3.9,2266,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,4.1,4058,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
,,,4.3,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,3.3,133,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
,,,4.0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
,,,4.1,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
,,,4.7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,3.8,276,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
45000.0,65000.0,55000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
42000.0,42000.0,42000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
46000.0,50000.0,48000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
65000.0,65000.0,65000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,4.1,3678,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
