salary_min,salary_max,salary_mean,rating_mean,rating_count,contract_contrat pro,contract_intérim,contract_temps plein,contract_indépendant,contract_cdd,contract_temps partiel,contract_cdi,contract_stage,contract_commission,contract_apprentissage,query_data+scientist,query_business+intelligence,query_data+analyst,query_developpeur,mode_an
10800.0,10800.0,10800.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
,,,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
,,,4.1,296,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
,,,3.7,118,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
,,,3.2,509,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
,,,3.7,118,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,4.2,1635,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
,,,4.2,1635,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
,,,3.5,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,3.2,509,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
34800.0,40800.0,37800.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
,,,3.4,4960,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,3.1,164,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
,,,3.7,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
,,,4.2,1635,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,,4.1,573,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
,,,3.1,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,,3.7,314,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,,3.6,854,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,,4.4,5,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
,,,3.8,1867,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,,3.3,20,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
,,,3.3,20,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
