,Title,Company,Location,TypeContrat,Salary,Description,Date,Link
0,Alternance - Data Scientist H/F,Malakoff Humanis,Paris 9e (75),"Apprentissage, Contrat pro",notfound,"Contrat
ALTERNANCE
Finalité du poste
Au sein du service DATA, vous participerez à la mise en œuvre des méthodes /techniques de Data science pour répondre à la mise en œuvre d'un produit DATA répondant à une question majeure du métier.
Vos missions
Dans le cadre de votre alternance et en collaboration avec un data scientist et un product owner, vos missions seront:
étudier des données disponibles qui permettront de définir les données qui seront utilisées dans l'élaboration du produit data selon les règles de conformité groupe et accord du Data
identifier les données complémentaires à obtenir
récupérer et analyser les données identifées pour le produit data à mettre en œuvre
identifier la problématique des directions métiers pour réaliser le(s) modèle(s) initial(aux) et les évolutions successives répondant à la problématique
élaborer les mécaniques anticipant l'évolution des données utilisées dans les modèles
élaborer les systèmes auto apprenant
élaborer le monitoring des modèles mis en œuvre
modéliser les résultats pour les rendre exploitables par les managers et la direction générale
supporter la direction métier dans la définition des KPI permettant de mesurer la valeur attendue, contribuer a leur analyse et la définition du plan d'action d'améliorations des algorithmes
s'assurer de la mise en place des conditions d'industrialisation sur l'ensemble des dimensions organisationnelle, compétences, outils....
mettre en place la boucle d'apprentissage permettant l'amélioration des algorithmes
Profil recherché
Vous préparez un Bac+5 en alternance dans le domaine de la Data Science, Mathématiques appliquées, statistiques et informatiques, ou de type écoles d'ingénieurs.
Vous connaissez les enjeux des directions métiers assurance.
Vous avez une appétence forte pour la gestion des données. Et une première expérience en data science et en particulier en machine Learning.
Vous connaissez les environnement Big Data.
Vous aimez travailler en équipe et êtes un bon communiquant (écrit et oral). Vous avez des capacités d'écoute et d'analyse ainsi qu'un sens du contact, une disponibilité et une réactivité.
La connaissance des outils d'analyse de données, d'exploration de données et de la programmation ainsi que de R et Python seraient un plus",il y a 3 jours ,/pagead/clk?mo=r&ad=-6NYlbfkN0BfLf6vlT6l4ABp3X30XSvXz_-NpXuqcS_nd6g9VmGJGEIFXOJiy_O-LZTi_P1Hr5C12zXBhJKffQtOWdFMmiYV_QBqrrdOCIc69vyCZNu5dO1KBLv7jyevMvQcElUkfJJ5L1ClaW4LrGjck2VYZ3EXlrGfyKTEA9ekwzMHr3B89d7QsbP52p8_9UNybe7nDzfHs4bhGM0-e197erRHo_XnAr5CxK679J4Ti7SIfL1Tu_Jf4iYrZXygCztLJ3jDzxb22-fat-0I_ajk_RRMKniqA4Yjh4fZ4rSG-xXWF_SImZ5XOcAQO1PiZn-p_30Sc2qTgFwSFqngs3kzvF_z0AimmZvG8EGh_jAjvrYayh5FIuaN6dFNxIL5FBPc9fZ26UOThlpNWRbcKrrysVhJ8iWy1lSiMZnFgW_Q0Yfic7Yy4WNv3L2FGOhZ7nQCHhLq_ufg1EZaWW8X3cBgitPIJDRQeBQ0nsSewDR45-SO1H95tg==&p=0&fvj=0&vjs=3
1,Data Scientist (F/H),Novencia,Paris (75),notfound,notfound,"Contexte
Data is fuel ! Quelle que soit la façon dont elle est structurée, la data n’est plus l’apanage des SI… mais bien au coeur des activités et des Métiers. Aujourd’hui, de nombreuses entreprises ont besoin d’être accompagnées dans la gestion de leurs données afin de s’en servir à bon escient. La manipulation de la data est devenue une équation à plusieurs inconnues où Objectif = (Technique X Data) + (Outil X Data)… Vous l’aurez compris, pour résoudre l’équation, il devient urgent pour les organisations d’être conseillées par des spécialistes des données numériques.

Data Scientist depuis 3 ans, vous êtes à la recherche de nouveaux défis. Bouclez votre ceinture, la suite est pour vous !
Compétences
AYANT LES COMPÉTENCES EN
Machine Learning Python R SAS SQL Statistiques

Profil
Carnet de route
Nos 35 référencements et bien d’autres à venir offrent un large champ de possibles !

Évidemment, nous privilégions les environnements innovants et donc organisés autour de méthodologies Agile.

Exemples de missions :

Text mining : analyse d’historique de la maladie des patients pour évaluer la durée de séjour à l’hôpital (Santé)
Mise en œuvre des outils de lutte contre la fraude pour les activités de BFI (Finance de marché)
Analyses du comportement client à des fins d’optimisation des opérations commerciales (Marketing opérationnel)
Création d’un outil d’aide à la décision pour l’évaluation du risque des aéronefs (Sécurité aérienne)
Prévision de vente de milliers de pièces détachées automobiles (Automobile)
Stress-tests : Développement de programmes (Banque)
Votre rôle
Traiter les données, structurées ou non structurées

Contrôler la qualité des données, détecter des patterns, des outliers

Concevoir les datamarts

Proposer et mettre en pratique les modèles statistiques (régressions…) ou de datascience (machine learning…) pour résoudre les problématiques métier

Collaborer avec les équipes technique et métier pour définir les besoins et expliciter les résultats

Restituer les résultats (rapports, présentations…)

À vous de choisir. Chez NOVENCIA, chaque consultant a le choix de sa mission et décide de la façon dont il souhaite évoluer.
De la technique et de la personnalité
Explorateur : part à la recherche de données sur des terres inconnues
Calculateur : aime les chiffres
Caricaturiste : reformule, vulgarise, schématise
Fin limier : trouve les meilleures solutions
Curieux : ne passe pas à côté d’une information essentielle
Bilingue : passe aisément du français au langage statistique
Avancer en équipe
NOVENCIA, c’est avant tout un projet collectif.

Validation par un pair. Après les formules d’usage du premier entretien, vous rencontrez un de nos consultants lors d’un second échange pour qu’il puisse appréhender votre niveau technique et vous en dire plus sur l’écosystème de NOVENCIA. (C’est souvent là que tout bascule…).

Partage d’expérience. NOVENCIA compte 7 communautés : Partners – Finance/ Prodigi – Agile / Craft / ActiveViam / UX@Scale / Data / GDPR, dont le fonctionnement est indépendant. Dotées de leur propre budget, elles sont libres de récolter et diffuser des informations. L’objectif : encourager la veille technique et l’évolution professionnelle.

Expertise. Meet-up, webinar, articles, vidéos…Au-delà d’un objectif purement professionnel, technique ou fonctionnel, NOVENCIA vous donne la possibilité de vous exprimer. Environ 80 événements annuels sont organisés. Autant d’occasions pour un collaborateur de se dépasser. Crédibilité et notoriété du parcours sont donc au rendez-vous !

Formation sur mesure. NOVENCIA possède son propre centre de formation. Technique ou fonctionnelle, les formations proposées sont, pour la plupart, certifiantes.

Suivi personnalisé. Qu’elle soit personnelle ou professionnelle, votre évolution est notre priorité. C’est pourquoi nous avons créé les Instants RH et Objectifs Carrière. Vous l’avez compris, chez NOVENCIA on ne lâche rien !

Notre objectif commun : co-construire votre carrière en fonction de vos aspirations et de vos compétences.


S’engager en faveur du handicap c’est garantir l’égalité des chances dès le recrutement.
À compétences égales, nos postes sont ouverts aux personnes en situation de handicap.",il y a 30+ jours ,/pagead/clk?mo=r&ad=-6NYlbfkN0Daqc6iXyKFbG6VVD0ldd2zgLQxuS1gW8w6A9JOLP9whJLALkHKDZaIT8Al6Nuyw9aqDkQDhUe092sns--BNQKB8NOlE8H0SpicNc_Zu1RtX2we6DiyffysbNm_-OeUrPxbXaRyvbSSsFNvKpGtaLiYAHJHNC17sjLy7dHlY4357fcPQd2W7AV80flvhO1ENfNejBLGYDyr-SsXzteAcdDqJVoPdq8lQIKvpdqakiF3XzsiL2XPIk6-BTM37cSWNoeIw6ndZOrDTAiDKCjGXXpFos1kVhc3deGDxBjeL21eW7vOfjaJryZv10h0mkGthXLWnPKbE1eJ3XMoLhEtFjM2G40CXruuQ5Mv8b1zHSw3z4EogUKQznIYjKgZPSZNTm80NFDne9C34mp0NaT4e6gGsLSieDSFThIUlEgGn1iTWxpfChYMmBdnQdonEscYdIY=&p=1&fvj=0&vjs=3
2,Data Scientist,DEGETEL,Boulogne-Billancourt (92),notfound,notfound,"Degetel ? Degetel et le digital ont en commun bien plus que des consonnes : ils partagent le même ADN.En plus de 20 ans d’histoire, Degetel n’a eu de cesse d’accompagner ses clients dans leur transformation digitale. Nous leur faisons bénéficier de notre parti pris d’innovation, fruit de notre R&D et de notre expérience multisectorielle. Nous anticipons à leur profit les évolutions des technologies, des usages et des tendances.Plus que du texte et des longues phrases, Degetel c’est ça : https://www.youtube.com/watch?v=4-bzgNnvzPA Dans cette logique et afin de renforcer notre communauté du Digital Performance, nous cherchons une nouvelle pépite en qualité de : Nous recherchons : Data Scientist (H/F)Pour : Définir une modélisation statistique ; Identifier les outils d’analyse à utiliser pour collecter les données, parfois les construire ; Étudier les données ; Synthétiser les résultats dégagés et les rendre exploitables facilement. Audit des solutions et des outils, évaluation des prestataires et solutions Enrichissement des bases de données tout en satisfaisant les exigences de qualité des données recueillies. Conception et mise en œuvre des outils pour la réalisation et le fonctionnement de la DATA Warehouse En qualité de consultant Degetel, vous êtes amené à intervenir en régie, intégré aux équipes de nos clients, et dans différents secteurs d’activités (industrie, banque, assurance, média, e-commerce…) Nos missions longues (de 1 à 3 ans) sont situées à Paris petite couronne et en proche banlieue.

Ayant : De formation supérieure (BAC +5ou Doctorat avec un profil scientifique) Une expérience de 1 à 4 ans en tant que data scientist Multiples compétences scientifiques (mathématiques, statistiques, modélisation, analyse de données Des connaissances ou une maitrise technique (Big data, python, hadoop, spark, scala..) et un plus Travaillé en méthodologies Agile (Kanban, Scrum) Pour vous accompagner : Le collaborateur est au centre du dispositif « partner centric » qui lui permettra au travers des suivis RH, Managers ou Commerce un accompagnement de proximité et HUMAIN lui permettant une pérennité d’activité et un développement de sa carrière Rencontres nous et juges par toi-même pour embarquer vers ta prochaine destination degetelienne !Degetel, ESN spécialisée dans le digital est une ESN (Entreprise de Services du Numériques) de 450 personnes et a réalisé un chiffre d’affaires de 46 millions d’euros en 2019 et fait partie du groupe Technology&Strategy (T&S). Crée en 2008, T&S est un groupe de conseil européen dont le siège est basé à Strasbourg. Ce nouvel ensemble regroupe plus de 1800 collaborateurs.",il y a 30+ jours ,/pagead/clk?mo=r&ad=-6NYlbfkN0Bl_GJvjV7T_nyT7YhzCl__eWgtG2pYAfIQqTT3QwFobB8o1kHFDV9c_GUxH4mpxlfgK2qwbqUxuoKtHms-KdGssrfORFFelPk-ngXshp48InuScNzo1UDSDEDfHSaJKQYgcwHwt_sMLjhIRMnQuZjdlCWpVWbGHaODTbX40T5_45_DTHc-UiiQSj2ghoTWBJlLVvNK-_OsqOSqc5p6ParVXnZeeQlH4bKW79_SlH-cJCbavyYvLSW5_y7FUBLIEVeDOjgYwt4GpQt5ElWxH8xBABqPgiKpvt48TBWXdgOnSHZzjCQcsikUz1vn6yZzc4wWh74BXyzWCEkgCkejMG4Ga_UnWyz0haEAJNLzUb5IRvHtELHXPmTPwwpg8jai8sFDTxr9Nw90rKjf5tPloFPNIKK7b_5EwL7jtc41Qh7caGuwyXwuOGtPJeoW6n6Ckfygg7sP-FvRruOTW_qNUcztdYf6yIxUB0UJwDyWPdkomn5AdKWTRsMPgbY_v1nIaL5Vv0jynX7H6Yck4wXJe2PGy9zaTe7Ay0UEEDzYFbkknQAk2uQpEhctdhbr3OoGkQ_v1VSGmZYGlBqfsRyu3f87tryxP7QsXFwBL9QcCkGmvvYmAlpwpzuZeapiICVr3lpl2o809eZSEDr78N6Xt0lAll-vR_8H9yeTbHUteXWs58U4o4Ct2GUavRJcDYHBvxt2MVjYH7gkB5BvTgOP7ExHlxT3aMdZncGeWGtxCHVkPB0Im_Zi07KytWRkltg5zyaUlPTZ_QUxT6PY_NruYg4VV9Vf3veswwWY-wB8bbiAeZ7NzNMe6Ekc5YhxLOSzxPA=&p=2&fvj=0&vjs=3
3,DATA SCIENTIST / MACHINE LEARNING RESEARCHER INTERN,Joko,Paris (75),Stage,notfound,"DESCRIPTIF DU POSTE

Tu seras responsable du développement d'algorithmes de Machine Learning et de la réalisation d'analyses de données avancées. Tu travailleras au sein de l'équipe Data Science en interaction directe avec l'équipe de développeurs. Selon sa nature, un accent “recherche” pourra être donné au stage (avec notamment des possibilités de publications).
Voici une liste non-exhaustive des missions possibles durant le stage :
Tu travailleras au développement et à la constante amélioration des algorithmes de recommandation d'offres au sein de l'application, afin d'offrir l'expérience la plus personnalisée possible à nos utilisateurs.
Tu participeras à la continuelle évolution des algorithmes permettant de qualifier le plus précisément possible la donnée brute envoyée par les banques.
Tu réaliseras des analyses de données avancées afin d'appuyer la prise de décisions et la stratégie des équipes commerciales et des équipes produits.
Tu participeras à toutes les étapes du processus de développement, depuis la modélisation des problèmes jusqu'au déploiement des modèles en production.
PROFIL RECHERCHÉ

Tu as le profil idéal si :
Tu es autonome, créatif et tu sais gérer ton temps et ta to-do comme personne
Tu as de bonnes connaissances dans différents domaines du Machine Learning
Tu es un expert en Python
Tu sais résoudre des problèmes complexes et abstraits
Tu as éventuellement déjà travaillé avec des séries temporelles et des réseaux de neurones récurrents, ou tu es familier avec des algorithmes d'analyse de graphe

Tout ce que tu pourras apporter d'autre sera le bienvenu, c'est important pour nous de constituer une équipe aussi diverse que possible en termes d'expériences, de cultures, de passions, etc.
INFORMATIONS COMPLÉMENTAIRES
Type de contrat : Stage (4 à 6 mois)
Date de début : 10 août 2020
Lieu : Paris, France (75001)
Télétravail total possible",il y a 3 jours ,/rc/clk?jk=51c591314452c91c&fccid=0b5f93d5f9c54d7f&vjs=3
4,Data Scientist H/F,NEOBRAIN,75009 Paris 9e,"Temps plein, CDI",notfound,"Neobrain développe des solutions digitales intuitives pour aider l’Homme à gérer sa carrière dans un monde en pleine mutation. Orientation professionnelle, gestion de carrière, recrutement, nous intégrons l’intelligence artificielle en support de l’Homme pour le centrer sur son cœur de métier. Créé en 2018, Neobrain compte déjà une trentaine de clients (grands comptes) et 2 bureaux (Lisbonne et Paris).L'équipe de Data Science de Neobrain applique l'apprentissage machine learning à divers problèmes liés au domaine des ressources humaines. En tant que Data Scientist au sein de cette équipe, tu travailleras en étroite collaboration avec des data engineers et des développeurs pour prendre en charge des problèmes réels en matière de ressources humaines.Le cadre réel de ce travail signifie qu'il y a beaucoup de data à explorer, à développer des algorithmes de PNL et de voir l'impact réel de ton travail sur la vie professionnelle des utilisateurs finaux. La complexité et l'ampleur des problèmes exigent des solutions véritablement innovantes. En tant que tel, tu continueras à bénéficier d'une grande liberté car notre objectif est de te permettre de développer des idées innovantes.Un Data Scientist de ce groupe peut être issu de la reconnaissance vocale ou du traitement du langage naturel, mais il peut aussi venir d'un apprentissage machine plus général.Si tu souhaites être autonome, évoluer au sein d'une équipe engagée, dynamique et motivée, occuper une position clé dans le développement de l'entreprise, nous sommes impatients de te rencontrer !Tes missions* Mener des recherches appliquées ciblées pour aider à résoudre des problèmes difficiles dans le domaine des ressources humaines* Identifier les opportunités commerciales et opérationnelles pour générer de la valeur grâce à des solutions intelligentes* Concevoir, mettre en œuvre, évaluer et optimiser des algorithmes et des modèles de PNL qui conduisent à une amélioration des performances des applications Neobrain dans des scénarios du monde réel* Utiliser des techniques efficaces de représentation de texte et des algorithmes de classification* Réaliser des études empiriques de la précision des algorithmes sur de grands ensembles de données* Développer une large base de code, par la conception, la révision, la maintenance et la collaboration avec des codes externes* Développer des processus de collecte de données à grande échelle sur le web à partir de différentes sources afin de développer des ensembles de données à l'usage des membres de l'équipe* Créer ou mettre à jour la documentation et les rapports si nécessaire* Proposer, concevoir et construire des outils réutilisables pour favoriser une interaction et une expansion rapides* Partager la connaissance, chez Neobrain l'apprentissage fait partie de nos valeurs fondatrices. Tu devras documenter ton expertise en combinant études de marché, entretiens, analyses et suivi méthodologiqueProfil recherchéTu es un expert en Python, SQL, tu as des connaissances en statistiques et en machine learningTu connais Docker, Git, Tensorflow ou PythorchTu es propriétaire de tes projets : tu prends l'initiative, tu es flexible et autonome, et tu fais preuve d'une grande rigueurTu es une personne de confianceTu es synthétique, clair et as de bonnes capacités de communicationTu as une courbe d'apprentissage très élevée, tu es capable de t'adapter à un écosystème en constante évolution et apprends très rapidement à garder une longueur d'avanceTu as l'esprit d'équipe : tu a de bonnes qualités relationnelles, aimes le partage et les défisTu sais faire preuve d'empathieTravailler dans une start-up en pleine expansion te motive tout particulièrement !Avoir un impact sur la vie des utilisateurs te motive constammentEncore une chose ?Nous sommes constamment à la recherche de talents. Si tu penses avoir les compétences nécessaires pour nous rejoindre, nous sommes heureux de lire les candidatures spontanées.Nous nous engageons à offrir un environnement de travail exigeant, mais dans la bonne humeur et la bonne volonté.Tu participeras à l'élaboration d'un projet collectif passionnant, comportant de grands défis.Nos bureaux sont situés à Notre-Dame de Lorette dans le 9ème arrondissement de Paris et tu seras couvert par Alan, l'assurance maladie 2.0 : ), bien sûr nous te fournirons un ordinateur portable.Tu as la possibilité de travailler à Paris ou à Lisbonne.Engagés dans un processus d'intégration très inclusif, nous examinons avec le même intérêt toutes les candidatures sans différenciation.Type d'emploi : Temps plein, CDIExpérience:data scientist h/f : 2 ans (Souhaité)Langue:Anglais (Requis)Télétravail:Temporairement en raison du COVID-19",Publiée à l'instant ,/company/NEOBRAIN/jobs/Data-Scientist-dfce81a430ab8c82?fccid=181aff057e3e0ca1&vjs=3
5,Data Scientist,QuickSign,Paris (75),CDI,notfound,"L’équipe
Des dizaines de milliers de comptes sont ouverts via notre plateforme chaque jour. La solution SDM (Smart Document Management) de QuickSign gère l’ensemble des modules d’analyse de documents : classification, lecture et contrôles sur la qualité et le contenu des documents. Chez QuickSign, elle permet de traiter chaque jour automatiquement un nombre important de dossiers pour les plus grandes banques en ligne.
Afin d’accélérer le temps de traitement des dossiers (en limitant le nombre de vérifications manuelles à mener), il est nécessaire d’avoir des algorithmes rapides et précis pour les différentes étapes. Pour ce faire, nous nous appuyons sur l’état de l’art en Deep Learning pour construire nos propres algorithmes d’analyse d’image et de texte.
L’ouverture de ces comptes génère par ailleurs des millions de logs qui, très divers, contiennent énormément d’informations pouvant être exploitées pour produire des statistiques, mais aussi accélérer le temps de traitement, augmenter le taux de transformation et limiter les fraudes.
Tu travailleras au sein de l’équipe Data, dont le but principal est de valoriser ce grand volume de données entrantes (dossiers, pièces justificatives, logs…). Notre équipe est aujourd’hui composée de 2 Data Scientists, 2 Data Engineers et 2 développeurs Python, et vise à être complétée dans l’année par un Data Scientist, un Data Engineer et un architecte Data. Elle couvre des thématiques larges telles que :
Vision artificielle : lecture et reconnaissance automatique de documents structurés ou non structurés (OCR), classification, analyse sémantique (NLP), approches hybride texte + image, évaluation de la qualité d’un document
Business Intelligence : ETLs permettant de produire des métriques métier à destinations des autres équipes de QuickSign, ou de nos clients
Datalake : projet de mise à plat de l’accès à toutes les données produites par QuickSign à des fins exploratoires
Lutte contre la fraude : détection de fraude à l’ouverture d’un compte.

Améliorer les performances de nos algorithmes, en concevoir de nouveaux, et explorer nos données afin de guider nos choix de R&D sont donc des enjeux essentiels au sein de l’équipe. Ces tâches s’inscrivent dans un effort plus large d’industrialisation des productions de l’équipe afin de concentrer les travaux des Data Scientists au développement de nouveaux modèles. Nous menons par exemple un chantier d’apprentissage continu avec les Data Engineers de l’équipe afin de réduire le temps nécessaire au réentrainement des modèles et d’être garant du maintien de bonnes performances en production.
Tes missions
Ta mission principale consistera à développer des modules de traitement de données images et texte essentiellement, à l’aide des technologies à l’état de l’art en Deep Learning et en NLP. Il faudra ainsi participer à l’amélioration des modules existants et à la création de nouveaux modules répondant à des besoins clients tels que :
Lecture, classification de nouveaux documents
Prise en charge de nouvelles zones géographiques
Lutte contre la fraude / KYC

Tu seras garant de la mise en oeuvre de ces modules chez QuickSign, depuis leur conception jusqu’à leur mise en production, ainsi que de leur suivi, avec le soutien des développeurs Python et des Data Engineers de l’équipe, ainsi que celui de nos DevOps.
Dans une démarche d’amélioration continue de la performance chez QuickSign, une veille régulière sur les sujets Data est primordiale, et l’équipe t’encouragera vivement à assister et à présenter les travaux menés chez QuickSign dans le cadre de Meetups, GdR et/ou conférences en France/Europe portant sur nos domaines de spécialité.
Profil recherché
Niveau d’études, expériences
Nous recherchons quelqu’un ayant entre 2 et 4 ans d’expérience en tant que Data Scientist, ayant travaillé sur des problématiques de vision et/ou de NLP, ou sortant d’une thèse dans le domaine, et travaillant en Python.
Compétences requises
Python 3
Docker
TensorFlow
Git
Nous apprecions aussi
NoSQL (pour info nous utilisons MongoDB)
gestionnaire de workflow pour le Deep Learning : AirFlow, Prefect…
GCP
TF-Serving, TF-Extended
Outil de versioning général (poetry) et pour le Deep Learning (DVC)
Ton état d’esprit
Ce poste couvrant, d’une part, des études R&D sur des thématiques Data au sens large afin de maintenir les produits proposés chez QuickSign à l’état de l’art, tu dois être force de proposition sur l’adaptation d’algorithmes récents à nos problématiques.
D’autre part, le passage des études R&D en production nécessite de garantir des taux de performances élevés (compromis ressources, temps, qualité). Tu dois donc avoir de l’appétence pour développer du code suivant les guidelines de bon développement, en portant une attention particulière aux test et au monitoring, afin de garantir le bon fonctionnement des modules Data en production.",il y a 3 jours ,/rc/clk?jk=4533312e1cde6215&fccid=108fa4915b998ff5&vjs=3
6,CDD - Data Scientist ou Statisticien (F/H),Allianz France,Paris (75),notfound,notfound,"Diplômé(e) en Data Science ou en Statistiques, vous cherchez un poste où vos compétences sont valorisées.
Vous souhaitez travailler en équipe et évoluer dans une entreprise qui met ses collaborateurs au coeur de sa stratégie de développement !
Venez apporter votre technicité et votre bonne humeur au sein de notre centre de compétences Data & Performance Vie & Santé !


Vous réalisez la rétro-documentation des Model points ;
Vous construisez des référentiels ;
Vous mettez en place des traitements industriels de données sur le périmètre Life & Health (projet Arpia) ;
Vous sécurisez le Run sur la construction des Model points.
Vous êtes diplômé(e) Bac+5 en Data Science ou en Statistiques ;
Votre très bonne maîtrise des techniques d’exploitation des données est reconnue grâce à une première expérience réussie ;
Vous connaissez l’assurance ;
Vous faites preuve d’adaptabilité ;
Vos capacités d’analyse et de synthèse ne sont plus à démontrer ;
Votre communication est aisée et vous partagez volontiers vos connaissances techniques vis-à-vis de personnes n’ayant pas les mêmes compétences ;
Vous êtes curieux et force de proposition ;
Votre maîtrise de SAS, Python, MS Office en fait pâlir plus d’un ; de même que celle de l’anglais (à l’écrit et à l’oral).

",il y a 12 jours ,/rc/clk?jk=f607ccbb58bd1b5b&fccid=bf422d4af99309b2&vjs=3
7,Stagiaire Data Scientist H/F,Cocoparks,Paris (75),"Temps plein, Stage",notfound,"Description de l'entrepriseCocoparks is an early stage tech startup. We believe revolutionizing the parking experience and related infrastructure management solutions is one the biggest levers to save time, money and CO2. We also believe in a responsible use of Artificial Intelligence to serve cities and businesses.https://cocoparks.iohttps://www.linkedin.com/company/cocoparks/Description du posteYour impact :Taking part of the early stage phase of a disruptive tech startupWorking directly with the founderShaping the core of the technologyDesigning & scaling ML algorithmsTests and production modeTechnology watchProfile :Engineering school or Bac+5 internshipYou love machine learningYou are both autonomous and a great team playerYou want to serve high impact issues with your skillsYou are smart !Required skills:Statistics and applied maths: problem modeling, data analysisCoding: Python, NodeJS, image processing, Docker, GithubMachine learning: computer vision, CNN, algorithm and proof-of-concept developmentIndustrie : Numérique et développement informatiqueAvantages :Travail à distance possibleHoraires flexiblesDurée du contrat : 6 moisType d'emploi : Temps plein, StageExpérience:stagiaire data scientist h/f ou similaire: 1 an (Souhaité)Télétravail:Oui",il y a 2 jours ,/company/Cocoparks/jobs/Stagiaire-Data-Scientist-7dfc3a37f8ba1ddc?fccid=b936c6214c3cacd7&vjs=3
8,STATISTICIEN - DATA SCIENTIST - H/F,La Banque de France,Paris (75),CDI,notfound,"Présentation de la Direction générale

La Banque de France recrute un Statisticien - Data Scientist H/F dans le cadre dune création de poste.
Vous rejoindrez la Direction des Données et des Services Analytiques (DDSA) qui met en uvre la stratégie définie par le Chief Data Officer de la Banque de France afin que la Banque transforme ses données en un capital pleinement valorisé.

Présentation du Service

Au sein de la Direction des données et des services analytiques (DDSA), le service des analyses quantitatives et méthodes avancées (QUANTIM) :
Développe un savoir-faire en matière d'analyse des données qu'il met au service des métiers ;
Contribue à la mise en uvre de la plateforme analytique du datalake ;
Anime les communautés dédiées aux méthodes de traitement de données.

Descriptif de mission

Sous la responsabilité du Chef de service et intégré à une équipe de 10 personnes, vous aurez pour missions principales :
Explorer les outils d'analyse des données issus de la Data science et de l'Intelligence artificielle ; définir des bonnes pratiques dans l'usage de ces méthodes ;
Développer une expertise sur la visualisation des données granulaires (cartographie, diagrammes de flux) ;
Mobiliser des sources de données issues du Web (Google trends) afin de proposer des indicateurs alternatifs ;
Réaliser des analyses innovantes à l'attention des autorités de la Banque des thèmes-clés ayant trait au financement de l'économie, à la politique monétaire et à la stabilité financière (analyse de réseaux, finance verte) ;
Présenter des travaux dans des séminaires internes et des colloques internationaux.

Profil recherché

De formation supérieure (école dingénieur, écoles spécialisées de type ENSAE/ENSAI, formation universitaire avec une spécialisation sciences des données ou statistiques), vous disposez impérativement dune première expérience dans le domaine de la Data Science (stage de 6 mois minimum).
Vous avez une réelle appétence pour lutilisation doutils innovants liés à la Data Science et disposez de bonnes compétences en statistiques et en économétrie.
Vous maitrisez des outils de traitement statistique de données (R Shiny, SAS, Stata, Eviews, Matlab, Python, etc.).
Vous disposez dexcellentes capacités rédactionnelles et maîtrisez langlais à lécrit et à loral (échange avec des acteurs extérieurs à la Banque de France).
Enfin, vous faites preuve des qualités suivantes : esprit danalyse, agilité, implication.
La Banque de france est une institution socialement responsable, attachée à la diversité de ses personnels. Des aménagements de poste peuvent être organisés pour tenir compte des handicaps des personnes recrutées.",il y a 30+ jours ,/rc/clk?jk=607ee79342f7e095&fccid=8fca4be36801c4b1&vjs=3
9,Statisticien/ Data Manager,ASSISTANCE PUBLIQUE HOPITAUX DE PARIS,75006 Paris 6e,"Temps plein, CDD",1 850 € - 2 500 € par mois,"Missions et responsabilitésSuite à la constitution d'un Entrepôt de Données de Santé à l'Assistance Publique - Hôpitaux de Paris, l'Unité de Recherche Clinique des hôpitaux de Cochin et Necker cherchent un data manager / statisticien.L'assistant aura la possibilité de travailler sur de nombreux projets à la pointe de la recherche médicale, notamment sur les projets relatifs au Covid-19. Dans le cadre de ces projets, l'assistant sera amené à :Aider à la rédaction des projets de rechercheStructurer les données pour les projets de rechercheRéaliser les analyses statistiquesEnfin, il pourra être amené à participer aux travaux de recherche des équipes de recherche de l'Unité de Recherche Clinique, sur des travaux de pointe en recherche médicale sur données.Les formations adéquates aux outils spécifiques seront proposées afin qu'il puisse assurer ses missions.Profil recherchéLe candidat devra disposer d'un diplôme de grade master en statistique, biostatistique, mathématiques ou informatique.La maîtrise des bases de l'analyse statistique est requise.L'assistant sera amené à travailler avec le langage R ou le langage Python. La maîtrise d'un de ces langages est nécessaire.La connaissance du monde la santé et de la recherche médicale sera fortement appréciée.La connaissance de l'anglais est un plus.Avantages :Participation au transportRTTType d'emploi : Temps plein, CDDSalaire : 1 850,00€ à 2 500,00€ /moisExpérience:statisticien/ data manager ou similaire: 1 an (Souhaité)Télétravail:Temporairement en raison du COVID-19",Publiée à l'instant ,/company/AP--HP/jobs/Statisticien-2ba04cc000c7d493?fccid=92c8989d84539431&vjs=3
