_id,query,title,company,rating_mean,location,salary,summary,sponso,date ,rating_count ,contract,desc
f511c22c063327a2,"[""data+scientist""]",Data Scientist H/F - Alternance - Niort,MAIF,"3,5",Niort (79),null,"Faire tourner le modèle sur un jeu de conversations téléphoniques et fournir le résultat textuel aux data-scientists.
Data Scientist H/F - Alternance - Niort.",Sponsorisée,Il y a plus de 30 jours,86 avis,"Apprentissage, Contrat pro","Intitulé du poste
Data Scientist H/F - Alternance - Niort
Type de contrat
Alternance
Durée du contrat si CDD (en mois)
12
Description
La MAIF recrute en alternance un Data Scientist h/f à Niort
Contrat de 12 mois

Intégré(e) au sein de notre Data Factory, votre mission s'articulera autour de l'IA. Framework de reconnaissance vocale.
L'objectif est de construire un algorithme de transcription de la voix en texte en s’appuyant sur un modèle de langage personnalisé.
Plusieurs enjeux sont liés à votre projet :
Doter nos Data-Scientists d’un moteur Speech-To-Text (notre but est de transcrire de gros volumes vocaux :conversations téléphoniques, saisie de texte en vocal …);
Constituer un jeu de données associant des enregistrements audios et leur texte correspondant ;
Utiliser une souche Open Source apportant la brique ASR (reconnaissance vocale) et l’entraîner sur un dataset audios/textes en français complété d’un corpus MAIF (vocabulaire personnalisé : assurance) ;
Faire tourner le modèle sur un jeu de conversations téléphoniques et fournir le résultat textuel aux data-scientists.
Ainsi, et selon votre profil, vous serez amené(e) à :
Evaluer les évolutions de versions des solutions Open Source disponibles (DeepSpeech, Wav2Letter++, Kaldi …) ;
Constituer un dataset audios-textes pour préparer l’entrainement du modèle ;
Développer des outils de Data-Prep audio (transcodage audio, découpage locuteurs, scission fichiers, re-synchronisation audio-texte, lexique …) ;
Entrainer un modèle de base en utilisant le dataset Mozilla Common Voice FR ;
Entrainer un modèle de référence en utilisant les dataset audios publics (LibriVox, TCOF, Common Voice …) ;
Entrainer un modèle MAIF en utilisant les dataset publics et MAIF (sur serveurs GPU) ;
Optimiser le modèle ( data augmentation, hyper-paramètres, structure neuronale …) ;
Préparer l’industrialisation du modèle (API, Kubernetes …).
Profil / Qualifications
Passionné(e) par la Data Science, vous préparez un Master 2 en Data Science / Intelligence artificielle (contrat de 12 mois uniquement).
Vous êtes curieux(se) et appréciez la nouveauté.
Vous savez vous intégrer à une équipe et appréciez le travail collaboratif.
Votre investissement pour permettra de réussir vos missions.

Localisation du poste
Localisation du poste
Nouvelle-Aquitaine, Deux Sèvres (79)
Lieu
NIORT

Informations générales
MAIF
La MAIF est un acteur majeur de l'assurance en France. Elle défend une autre idée de l'économie et a développé un modèle mutualiste centré sur l'humain.
Travailler à la MAIF, c'est rejoindre une entreprise qui place l'expérience de ses sociétaires et de ses salariés au cœur de ses actions. C'est évoluer dans un environnement favorisant votre épanouissement et dans une entreprise qui vous permet de vous engager pour l'avenir.
MAIF porte au quotidien la diversité et l'égalité des chances.
Référence
2020-421"
ee8a41c8db4c0bcf,"[""data+scientist""]",Data Scientist Marketing H/F,Bouygues Telecom,"3,8",Meudon (92),null,"Au sein de l'équipe Connaissance Client, composée de 5 data scientists, de la direction Marketing et Expérience Client Entreprises, vos missions auront pour but…",Sponsorisée,Il y a plus de 30 jours,640 avis,"Temps plein, CDI","Au sein de l'équipe Connaissance Client, composée de 5 data scientists, de la direction Marketing et Expérience Client Entreprises, vos missions auront pour but d’aider le Marketing, en particulier les chefs de produits et chefs de marché, à mieux connaître nos clients, leurs besoins, et les offres dédiées.
Le but ultime de vos missions est de proposer des recommandations sur notre stratégie d’acquisition, de développement et de fidélisation. A ce titre, le/la candidate aura la charge de :
Compréhension des besoins,reformulation, rédaction d’Expressions de besoins
Data Management : étude de faisabilité, recherche des données les plus pertinentes, et création de bases de travail
Data Visualisation : Création de Tableaux de Pilotage, avec le logiciel Tableau
Data Analytics : Réalisation d’études (segmentation,scoring), avec les logiciels S AS et DataIku,
Présentation des résultats et recommandations.
Vous traiterez des données variées, issues du DataWarehouse ou du Datalake : vie des contrats, données d’achat, d’usage, de marketing direct, d’utilisation des sites web, de l’INSEE (base en Open Data).
Vous serez amené à partager vos études à l’ensemble des Directions de l’entreprise : Finance, Commerce et Relation Client.
Détail du profil
Doté(e) d'un grand sens de l'analyse, vous aimez réaliser des études et mettre en place des tableaux de bord pour répondre aux problématiques Marketing. Vous avez une expérience préalable au sein d’une Direction Métier, et avez une bonne ou très bonne connaissance des logiciels suivants : Tableau, Teradata (SQL), S AS, DataIku et du Pack Office.
Vos compétences relationnelles et votre esprit de synthèse vous permettent d’échanger efficacement avec vos clients, apparten ant à toutes les directions de l’entreprise.
Contrat
CDI
Temps de travail
Temps complet
Localisation du poste
Localisation du poste
France, Ile-de-France, Hauts-de-Seine (92)
Code postal
92360
Ville
13 AVENUE DU MARECHAL JUIN 92360 MEUDON
Critères candidat
Niveau d'études min. requis
Master 2 et plus
Formation
Université, Ecole de de Commerce ou d’Ingénieur en
Niveau d'expérience min. requis
Débutant
Langues
Anglais (Moyen)"
a8284ae0fe30bcb8,"[""data+scientist""]",Développeur JAVA / Data Scientist,Amiltone,"5,0",Grenoble (38),null,"Le poste est basé à GRENOBLE (38).
Le développement des tâches qui vous sont assignées en respectant les spécifications.",Sponsorisée,"Publiée à l'instant",2 avis,null,"Localisation :
Le poste est basé à GRENOBLE (38).
Occupation 100
Missions :
Le développement des tâches qui vous sont assignées en respectant les spécifications
Le Code Review avec les autres développeurs du projet
L’écriture de tests unitaires et fonctionnels durant vos développements
Le développement et intégration de services et composants Big Data

La stack technique :
JAVA JEE Spring Boots ou Spring MVC ou Hibernate
Spark / Scala
Docker
Elasticsearch"
742278d478124f60,"[""data+scientist""]",CDI - Data scientist senior H/F,BIOMERIEUX sa,"3,8",Craponne (69),null,"Acteur mondial dans le domaine du diagnostic in vitro depuis plus de 55 ans, bioMérieux conçoit, développe, produit et commercialise des solutions de diagnostic…",Sponsorisée,il y a 19 jours,440 avis,null,"Acteur mondial dans le domaine du diagnostic in vitro depuis plus de 55 ans, bioMérieux conçoit, développe, produit et commercialise des solutions de diagnostic (systèmes, réactifs, logiciels et services) destinées à des applications cliniques et industrielles, qui déterminent l'origine d'une maladie ou d'une contamination pour améliorer la santé des patients et assurer la sécurité des consommateurs.

bioMérieux est présente dans plus de 160 pays au travers de 43 filiales et d’un large réseau de distributeurs. Elle réalise plus de 90 % de son chiffre d'affaires à l'international. Son siège social se situe à Marcy l’Etoile, près de Lyon, en France.

Rejoindre les équipes de bioMérieux, c’est choisir une société innovante avec une vision long terme, engagée au service de la santé publique et portée par une culture d’entreprise humaniste.

Nous recherchons des candidats dont la volonté est de s’investir dans des projets d’avenir, de participer à une aventure collective animée par un esprit pionnier.

Nous avons la volonté d'offrir à nos collaborateurs un environnement de travail qui encourage l'esprit d'équipe, avec priorité donnée à la formation et des opportunités de développement de carrière à l'international.

Notre Groupe offre de nombreuses perspectives d’évolution : rejoignez les 12 000 collaborateurs de bioMérieux qui se sont déjà reconnus dans ces valeurs !

Vous serez responsable de la structuration et de la validation des sources de données des clients ainsi que de la création d'analyses à partir de ces sources. Vous travaillerez en collaboration avec des analystes métiers spécialisés afin de comprendre parfaitement la question du client et de se concentrer sur le développement d'idées fondées sur les données qui apportent de la valeur au client.

Vos missions serons de :
Apporter à l’équipe votre forte expérience dans
l'utilisation de diverses méthodes d'extraction et d'analyse de données
l'utilisation de divers outils de données
l'élaboration et la mise en œuvre de modèles
l'utilisation et la création d'algorithmes et dans la création
l'exécution de simulations
Rechercher et concevoir des modèles statistiques innovants en matière d'analyse des données
Extraire et analyser les données des bases de données de nos clients dans le but d’optimiser et améliorer le développement des produits
Concevoir et utiliser des algorithmes et des modèles pour exploiter les données
Évaluer l'efficacité et la fiabilité des nouvelles sources de données et des techniques de collecte de données.
Créer des sources de données ad hoc sur demande afin de trouver des informations en fonction des besoins.
Traiter, nettoyer et vérifier l'intégrité des données utilisées pour l'analyse
Faire de le veille technologique
Transférer les modèles analytiques en production en collaborant avec l’équipe de développement et d’industrialisation des algorithmes
Vous contribuerez également avec :
La passion de découvrir des solutions qui sont dissimulées dans les données et de travailler avec les parties prenantes pour améliorer les performances des entreprises.
La curiosité à chercher et comprendre le monde du client et les défis spécifiques à travers les données
Un esprit créatif : capacité et volonté d'essayer de nouvelles approches qui pourraient mieux s'adapter à un problème
Une forte concentration sur la création de valeur pour le client et l'équipe, en termes de bénéfices à court terme et de résolution de problèmes à plus long terme
Un esprit de collaboration car vous travaillerez et vous adapterez avec un grand nombre de parties prenantes et d'équipes fonctionnelles, en particulier les analystes métiers (afin de développer une compréhension approfondie des besoins) et les clients
Une volonté d’apprendre ensemble: en sachant utiliser les données pour trouver des possibilités d'optimisation des produits et des processus et utiliser des modèles pour tester l'efficacité de différentes actions
Une concentration sur les interactions entre les équipes et une capacité à communiquer des solutions analytiques aux parties prenantes et à fournir des suggestions pour apporter les améliorations nécessaires aux systèmes opérationnels
Master ou PhD en mathématiques, en analyse de données, en informatique ou dans un domaine connexe
7 ans d'expérience dans la structuration, la validation, l'analyse et la modélisation d'ensembles de données
5 ans d'expérience avec Python (matplotlib, numpy, scipy, pandas, Pycharm, Anaconda …) et optionnellement avec R
Expérience avec les logiciels de productivité courants tels que Word, Excel et PowerPoint
Maîtrise de l'exploration de données, des mathématiques et de l'analyse statistique
Expérience avancée en matière de modélisation prédictive et de reconnaissance de formes
Aisance à travailler dans un groupe dynamique, axé sur la recherche, avec plusieurs projets simultanés en cours
Capacité à s’adapter dans un environnement dynamique et évolutif
Excellentes aptitudes à la communication écrite et orale pour la coordination entre les équipes."
cb00bc9002770a71,"[""data+scientist""]",Data Scientist h/f- Paris- Cdi,Robert Half France,"3,9",Paris (75),null,"Ils sont à la recherche de passionné(e)s de la data désireux d'apprendre et d'apporter leur expertise à l'équipe Data.
A propos de notre client.",Sponsorisée,Il y a plus de 30 jours,"12,114 avis",CDI,"A propos de notre client
Notre client est une start-up made française de 90 collaborateurs.
En 5 ans, ils ont réalisé 3 levées de fonds dont la dernière d'environ 10 millions en 2018.
Cette startup a développé une solution « clé en main » facilitant la recherche et sécurisant l'achat de véhicule d'occasion en France et en Europe.
Ils répertorient 8 millions d'annonces de vente de véhicules d'occasion sur leur plateforme et propose la seule solution positionnée 100% côté acheteur.
Travailler pour notre client, c'est intégrer le leader du marché de la voiture d'occasion et vivre une aventure incroyable aussi bien professionnellement que personnellement !
Missions
En tant que Data Scientist, vous aurez pour missions :
D'analyser les données à l'aide d'outils statistiques et de Machine Learning
D'étudier le marché européen des véhicules d'occasion
D'identifier les flux d'utilisateurs
De mettre en corrélation les données reçues
De créer des typologies de profil d'utilisateur présent sur notre leur internet
De produire des rapports et visualisations
Profil du candidat
Formation et compétences
Le/la futur(e) Data Scientist devra être un(e) expert(e) de Python et ses modules : Panda, Numpy et Scikit. La maîtrise d'autres frameworks est un plus.
3/4 années d'expérience sont requises pour ce poste.
Ils sont à la recherche de passionné(e)s de la data désireux d'apprendre et d'apporter leur expertise à l'équipe Data.
Avantages et conditions
Salaire : 50k annuel brut"
5f38bad11d95a9af,"[""data+scientist""]",Data scientist Freelance– Secteur bancaire,LFZPartners,null,Paris (75),null,"Data scientist secteur bancaire: 3 ans (Souhaité).
ASAP, nous recherchons un data scientiste pour le secteur bancaire (pôle gestion des données).",Sponsorisée,il y a 25 jours,null,"Temps plein, Freelance / Indépendant","ASAP, nous recherchons un data scientiste pour le secteur bancaire (pôle gestion des données)
Cadrage des cas d’usage et gouvernance des projets
Cadrage des cas d’usage
Compréhension fine des enjeux métier et des problématiques adressées
Modélisations des solutions et scénarios type de leurs applications finales
Estimations des gains envisagées (ROI, productivité, etc.)
Inventaires des bases de données impliquées dans le cas d’usage
Scorings a priori des cas d’usage par la valeur métier et la faisabilité du projet
Gouvernance des projets
Constitutions des groupe projet : product owner, data analyst, data engineer
Comitologies des projets : comité de projet et de pilotage, nombre de comité, fréquence
Calendriers de mise en œuvre : phases, nombre d’itérations, durée des phases, pré-industrialisation
Livrable attendu
Fiches projets, documentations sur les données utilisées (sources, définition, …)
Supports de présentations pour les comités de pilotage
Calendriers de mise en œuvre
Préparation des données impliquées dans les cas d’usages
Extraction et entreposage des données
Demandes d’autorisation pour extraction des données (RSSI, Métier, DPO, DSI…).
Mise en place « d’environnements analytiques » pour la préparation des données : serveur de stockage, outillage de préparation, outillage de visualisation, habilitations à l’environnement de travail, etc.
Extractions et dépôts des données
Préparation des données
Profiling des données déposées (complétude, unicité, cohérence, fraîcheur…)
Analyses des données : analyses factorielles, réduction des données corrélées
Validation des définitions sur les données (Métier vs IT)
Préparation des jeux de données à analyser puis modéliser (analytical dataset)
Livrable attendu
Documentations sur le profiling des données dictionnaires des données, statistiques descriptives et méthodologies pour la constitution des analytical dataset.
Construction des modèles mathématiques et des visualisations correspondants aux cas d’usage
Analyses exploratoires et visualisations des données
Construction des variables à expliquer (cibles)
Construction des variables explicatives
Construction de datavisualisations (tableaux de bords, cartes, …) adaptées et favorisant les taux d’adoption des modèles explicatifs et des applications finales
Entrainement des modèles prédictifs
Préparation des échantillons pour apprentissage et test
Mise en concurrence de plusieurs modèles prédictifs (random forest, SVM, gradient descent, …)
Sélection des meilleurs modèles prédictifs. Lee client valide les modèles sur la présentation des métriques de performance (courbes, ROC, AUC et courbes lift).
Validation des modèles prédictifs
Optimisation des critères de précision et de robustesse
Matrice de confusion et métriques de performance (courbes ROC, Lift, …)
Livrable attendu :
Datavisualisations, modèles prédictifs
Documentations sur les méthodologies mises en œuvre
Documentations sur les métriques de performance des modèles
Comités de validation avec le Métier
Le consultant travaillera en étroite collaboration avec les équipes du DataLab et de la DSI.
Compétences
Solides compétences en programmation informatique (Python, R…) et une bonne compréhension des structures de données
Expertise en algorithmie et gestion des bases de données (Hadoop, NoSQL, Cassandra…)
Maîtrise de l’architecture des bases de données décisionnelles (data warehouse)
Mathématiques appliquées : construire des algorithmes pour améliorer les résultats de recherches et de ciblage
Statistiques : capacité à réaliser des analyses prédictives et statistiques à partir des différentes bases de données
Connaissances juridiques et réglementaires de la gestion des données
Capacité à proposer une stratégie et des choix de scénarios alternatifs adaptés
Expérience avérée dans la gestion de projets d’analyse avancée des données et de projets de datavisualisations pour des organisations du secteur public
Qualités relationnelles, capacité à animer des réunions, à présenter en comité de direction ou en public et capacité à gérer une communication adaptée dans la conduite du changement
Qualités rédactionnelles, esprit d’analyse et de synthèse, et aptitude à travailler en mode projet.
Durée
4 Mois avec possibilité d’extension
Tarif :
600 e par jour ( A négocier pour les consultants plus expérimentés)
Type d'emploi : Temps plein, Freelance / Indépendant
Expérience:
data scientist secteur bancaire: 3 ans (Souhaité)
Télétravail:
Temporairement en raison du COVID-19"
51c591314452c91c,"[""data+scientist""]",DATA SCIENTIST / MACHINE LEARNING RESEARCHER INTERN,Joko,null,Paris (75),null,"Tu seras responsable du développement d'algorithmes de Machine Learning et de la réalisation d'analyses de données avancées.
Tu as le profil idéal si :",null,il y a 4 jours,null,Stage,"DESCRIPTIF DU POSTE
Tu seras responsable du développement d'algorithmes de Machine Learning et de la réalisation d'analyses de données avancées. Tu travailleras au sein de l'équipe Data Science en interaction directe avec l'équipe de développeurs. Selon sa nature, un accent “recherche” pourra être donné au stage (avec notamment des possibilités de publications).
Voici une liste non-exhaustive des missions possibles durant le stage :
Tu travailleras au développement et à la constante amélioration des algorithmes de recommandation d'offres au sein de l'application, afin d'offrir l'expérience la plus personnalisée possible à nos utilisateurs.
Tu participeras à la continuelle évolution des algorithmes permettant de qualifier le plus précisément possible la donnée brute envoyée par les banques.
Tu réaliseras des analyses de données avancées afin d'appuyer la prise de décisions et la stratégie des équipes commerciales et des équipes produits.
Tu participeras à toutes les étapes du processus de développement, depuis la modélisation des problèmes jusqu'au déploiement des modèles en production.
PROFIL RECHERCHÉ
Tu as le profil idéal si :
Tu es autonome, créatif et tu sais gérer ton temps et ta to-do comme personne
Tu as de bonnes connaissances dans différents domaines du Machine Learning
Tu es un expert en Python
Tu sais résoudre des problèmes complexes et abstraits
Tu as éventuellement déjà travaillé avec des séries temporelles et des réseaux de neurones récurrents, ou tu es familier avec des algorithmes d'analyse de graphe
Tout ce que tu pourras apporter d'autre sera le bienvenu, c'est important pour nous de constituer une équipe aussi diverse que possible en termes d'expériences, de cultures, de passions, etc.
INFORMATIONS COMPLÉMENTAIRES
Type de contrat : Stage (4 à 6 mois)
Date de début : 10 août 2020
Lieu : Paris, France (75001)
Télétravail total possible"
1c8dce698e6095b3,"[""data+scientist""]",Data Scientist - Maintenance prédictive des applications SI...,MGEN,"3,1",Tours (37),null,"Description de l'établissement ou de la direction.
MGEN Technologies, DSI du Groupe MGEN compte 500 collaborateurs répartis entre 3 sites : Le Kremlin-Bicêtre,…",null,il y a 2 jours,194 avis,"Apprentissage, Contrat pro","Description de l'établissement ou de la direction
MGEN Technologies, DSI du Groupe MGEN compte 500 collaborateurs répartis entre 3 sites : Le Kremlin-Bicêtre, Nancy et Tours.
Vous intégrerez le Collectif Innovation qui a pour objectif d’animer la démarche d’innovation au sein de la DSI et d’accompagner l’ensemble des entités de la DSI dans cette transformation en lien avec la Stratégie de MGEN.
Au sein de ce Collectif et en collaboration avec les directions concernées (Outils et Solutions Transverses, Data et Infrastructures et Productions), le candidat devra concevoir, spécifier et mettre en œuvre des solutions à base d’Intelligence Artificielle (Machine Learning, analyse prédictive, etc.) afin de prédire les défaillances applicatives suffisamment à l’avance pour les éviter.
Dans le cas de l'alternance, l'axe d'étude portera sur le périmètre du site mgen.fr et services mobiles, et des impacts applicatifs et opérationnels induisant des risques de performance ou pannes pouvant être anticipés.

Mission(s)
A ce titre, vos missions seront les suivantes :
Vous veillez sur les techniques et solutions de machine learning appliquées au monitoring des applications et à la maintenance prédictive.
Vous identifiez les sources de données à collecter.
Vous analysez l’évolution des différents paramètres des ressources techniques et applicatifs.
Vous définissez les paramètres critiques pour chaque périmètre analysé.
Vous identifiez les algorithmes existants en comparant et proposant les algorithmes les plus adaptés à la prédiction des défaillances.
Vous définissez les limites permettant de détecter une dérive de fonctionnement.
Vous mettez en application les solutions identifiées avec les équipes des plans d’action associés.
Vous assurez la documentation des travaux

Profil
De formation Bac +3 minimum, vous suivez une formation informatique dans une école d'Ingénieurs ou Université.
Vous disposez de Solides compétences en développement informatique (JAVA, Python, R …), en IA, Data mining, en Machine Learning et en technologies Big Data (Hadoop, Spark, MongoDb)
Vous avez des connaissances dans le traitement des données et statistiques
Dôté de qualités rédactionnelles, vous êtes autonome, rigoureux et vous avez le sens de l’organisation.
Sociable, vous aimez le travail en équipe.
Postuler à cette offre
Liste des offres"
8a7a93bde96074c3,"[""data+scientist""]",Data scientist (h/f) - Alternance,Maisons du Monde,"3,3",Paris (75),null,"Le programme data du groupe Maisons du Monde a presque quatre ans déjà, et se compose d’une trentaine de personnes (data scientists, data analysts, data…",null,"Aujourd'hui",469 avis,"Temps plein, Apprentissage, Contrat pro","Le programme data du groupe Maisons du Monde a presque quatre ans déjà, et se compose d’une trentaine de personnes (data scientists, data analysts, data engineers, business analysts). Les cas d’usages à développer vont du marketing digital (CRM, acquisition trafic, personnalisation/recommandation) à la supply chain.
L’infrastructure data, développée dans l’équipe, est basée sur Google Cloud Platform. Les résultats sont là : nous sommes mis en avant par les équipes Google quant à l’usage de leurs outils cloud !

Dans une ambiance jeune et dynamique, où le travail d’équipe est mis en valeur, nous recherchons un(e) alternant(e) Data Scientist.
Vous participerez activement à la vie de l’équipe en collaborant étroitement avec les data scientists, data engineers et business analysts.
Les missions seront variées (structuration de la chaîne Big Data, Dashboarding, Analyse Ad Hoc, R&D sur le Machine Learning) et demandent de la rigueur.

Missions :
Vous êtes impliqué(e) dans votre travail ;
Vous travaillez en étroite relation avec notre responsable data science pour aider à la création des algorithmes nécessaires pour les cas d’usages développés pour les équipes métier ;
Vous mettez en place les nouveaux flux d’entrée et de sortie au sein de la plateforme data, et allez jusqu’au modeling et à l’activation de la donnée ;
Vous assurez le delivery, et êtes constamment en veille sur les nouvelles technos.
Environnement Technique :
Google Cloud Platform ;
Big Query, SQL-like, Dataflow;
Python ;
ML & DL, Tensorflow ;
Docker, Kubernetes, Airflow ;
Qlik Sense ;
Et tout autre outil que vous jugerez pertinent !

Alternance basée à Paris (8e), proche de la gare Saint-Lazare

De formation supérieure en école d’ingénieur/université, vous êtes proactif et êtes intéressé par les problématiques business et technique (un test technique devra être réalisé) .
SAVOIR-FAIRE
Vous êtes intéressé par les technologies Big Data en production sur de fortes volumétries de données. Vous maîtrisez le développement en Python ;
Vous souhaitez comprendre et maîtriser la chaîne Big Data, de la récupération de la donnée jusqu’à son exploitation finale.
SAVOIR-ETRE
Vous avez l’esprit d’équipe et êtes impliqué(e) dans votre travail au quotidien ;
Vous êtes curieux (se), rigoureux (se), structuré(e) ;
Vous avez hâte de proposer des améliorations et les partager ;
A l’externe, vous participez à des événements de l’univers Big Data (meetups, conférence, etc.)."
dfce81a430ab8c82,"[""data+scientist""]",Data Scientist H/F,NEOBRAIN,null,Paris 9e (75),null,"Data scientist h/f : 2 ans (Souhaité).
En tant que Data Scientist au sein de cette équipe, tu travailleras en étroite collaboration avec des data engineers et…",null,il y a 1 jour,null,"Temps plein, CDI","Neobrain développe des solutions digitales intuitives pour aider l’Homme à gérer sa carrière dans un monde en pleine mutation. Orientation professionnelle, gestion de carrière, recrutement, nous intégrons l’intelligence artificielle en support de l’Homme pour le centrer sur son cœur de métier. Créé en 2018, Neobrain compte déjà une trentaine de clients (grands comptes) et 2 bureaux (Lisbonne et Paris).
L'équipe de Data Science de Neobrain applique l'apprentissage machine learning à divers problèmes liés au domaine des ressources humaines. En tant que Data Scientist au sein de cette équipe, tu travailleras en étroite collaboration avec des data engineers et des développeurs pour prendre en charge des problèmes réels en matière de ressources humaines.
Le cadre réel de ce travail signifie qu'il y a beaucoup de data à explorer, à développer des algorithmes de PNL et de voir l'impact réel de ton travail sur la vie professionnelle des utilisateurs finaux. La complexité et l'ampleur des problèmes exigent des solutions véritablement innovantes. En tant que tel, tu continueras à bénéficier d'une grande liberté car notre objectif est de te permettre de développer des idées innovantes.
Un Data Scientist de ce groupe peut être issu de la reconnaissance vocale ou du traitement du langage naturel, mais il peut aussi venir d'un apprentissage machine plus général.
Si tu souhaites être autonome, évoluer au sein d'une équipe engagée, dynamique et motivée, occuper une position clé dans le développement de l'entreprise, nous sommes impatients de te rencontrer !
Tes missions
* Mener des recherches appliquées ciblées pour aider à résoudre des problèmes difficiles dans le domaine des ressources humaines
* Identifier les opportunités commerciales et opérationnelles pour générer de la valeur grâce à des solutions intelligentes
* Concevoir, mettre en œuvre, évaluer et optimiser des algorithmes et des modèles de PNL qui conduisent à une amélioration des performances des applications Neobrain dans des scénarios du monde réel
* Utiliser des techniques efficaces de représentation de texte et des algorithmes de classification
* Réaliser des études empiriques de la précision des algorithmes sur de grands ensembles de données
* Développer une large base de code, par la conception, la révision, la maintenance et la collaboration avec des codes externes
* Développer des processus de collecte de données à grande échelle sur le web à partir de différentes sources afin de développer des ensembles de données à l'usage des membres de l'équipe
* Créer ou mettre à jour la documentation et les rapports si nécessaire
* Proposer, concevoir et construire des outils réutilisables pour favoriser une interaction et une expansion rapides
* Partager la connaissance, chez Neobrain l'apprentissage fait partie de nos valeurs fondatrices. Tu devras documenter ton expertise en combinant études de marché, entretiens, analyses et suivi méthodologique
Profil recherché
Tu es un expert en Python, SQL, tu as des connaissances en statistiques et en machine learning
Tu connais Docker, Git, Tensorflow ou Pythorch
Tu es propriétaire de tes projets : tu prends l'initiative, tu es flexible et autonome, et tu fais preuve d'une grande rigueur
Tu es une personne de confiance
Tu es synthétique, clair et as de bonnes capacités de communication
Tu as une courbe d'apprentissage très élevée, tu es capable de t'adapter à un écosystème en constante évolution et apprends très rapidement à garder une longueur d'avance
Tu as l'esprit d'équipe : tu a de bonnes qualités relationnelles, aimes le partage et les défis
Tu sais faire preuve d'empathie
Travailler dans une start-up en pleine expansion te motive tout particulièrement !
Avoir un impact sur la vie des utilisateurs te motive constamment
Encore une chose ?
Nous sommes constamment à la recherche de talents. Si tu penses avoir les compétences nécessaires pour nous rejoindre, nous sommes heureux de lire les candidatures spontanées.
Nous nous engageons à offrir un environnement de travail exigeant, mais dans la bonne humeur et la bonne volonté.
Tu participeras à l'élaboration d'un projet collectif passionnant, comportant de grands défis.
Nos bureaux sont situés à Notre-Dame de Lorette dans le 9ème arrondissement de Paris et tu seras couvert par Alan, l'assurance maladie 2.0 : ), bien sûr nous te fournirons un ordinateur portable.
Tu as la possibilité de travailler à Paris ou à Lisbonne.
Engagés dans un processus d'intégration très inclusif, nous examinons avec le même intérêt toutes les candidatures sans différenciation.
Type d'emploi : Temps plein, CDI
Expérience:
data scientist h/f : 2 ans (Souhaité)
Langue:
Anglais (Requis)
Télétravail:
Temporairement en raison du COVID-19"
